symbol,period,announcement_date,roe,roa,net_margin,debt_to_equity,current_ratio,revenue_growth_yoy,profit_growth_yoy,net_profit,net_sales,total_assets,total_liabilities,total_equity,current_liabilities,current_assets,long_term_liabilities,revenue,operating_profit,ebitda,gross_profit,total_debt
GARAN,2022/3,2022-04-25 07:30:17,0.08908550678788682,0.010121077957149826,,0.0,,,,587551399.0,,58052255055.0,58052255055.0,6595364613.0,,,,,707511414.0,,,0
GARAN,2022/6,2022-07-28 18:10:09,0.21170864225073027,0.024095495126500326,,0.0,,,,1417110623.0,,58812264100.0,58812264100.0,6693683394.0,,,,,1626404990.0,,,0
GARAN,2022/9,2022-10-27 18:10:10,0.34280202474760213,0.041184149611803195,,0.0,,,,2426103728.0,,58908676053.0,58908676053.0,7077273624.0,,,,,2878863855.0,,,0
GARAN,2022/12,2023-02-01 08:30:11,0.43202571338299917,0.057251937924629084,,0.0,,,,3521463754.0,,61508201847.0,61508201847.0,8151051303.0,,,,,4230204194.0,,,0
GARAN,2023/3,2023-04-27 08:20:50,0.09193570197137635,0.012217745926527687,,0.0,,,0.4174444353590927,832821461.0,,68164902594.0,68164902594.0,9058738261.0,,,,,792432062.0,,,0
GARAN,2023/6,2023-07-27 18:10:16,0.23818197554816678,0.026769807315659165,,0.0,,,0.2189973873338186,1727454147.0,,64529943254.0,64529943254.0,7252665291.0,,,,,1728389664.0,,,0
GARAN,2023/9,2023-10-30 18:10:13,0.33199345701304106,0.040812392730673185,,0.0,,,0.06907750277361595,2593692915.0,,63551601400.0,63551601400.0,7812482024.0,,,,,2742461458.0,,,0
GARAN,2023/12,2024-01-29 18:14:43,0.4415322405350456,0.056001392279254845,,0.0,,,0.0407620441462593,3665005815.0,,65444905311.0,65444905311.0,8300652769.0,,,,,3738756257.0,,,0
GARAN,2024/3,2024-04-29 08:00:21,0.09130564380734038,0.010768451356782352,,0.0,,,-0.13449992374776232,720807038.0,,66936926594.0,66936926594.0,7894441219.0,,,,,708751679.0,,,0
GARAN,2024/6,2024-07-30 18:10:19,0.1669424681046308,0.020159134930528243,,0.0,,,-0.17915888334140542,1417965391.0,,70338603114.0,70338603114.0,8493736837.0,,,,,1444067973.0,,,0
GARAN,2024/9,2024-10-30 18:10:17,0.23419538612923219,0.028394126539667358,,0.0,,,-0.20054650532906282,2073536865.0,,73026964295.0,73026964295.0,8853875814.0,,,,,2129370818.0,,,0
GARAN,2024/12,2025-01-29 18:10:09,0.3003773454321477,0.038004155907012345,,0.0,,,-0.23493871618863993,2803954054.0,,73780195536.0,73780195536.0,9334772068.0,,,,,2980501416.0,,,0
GARAN,2025/3,2025-04-28 18:10:07,0.07771057588261103,0.008693445717269793,,0.0,,,-0.03248779876647098,697389604.0,,80220159725.0,80220159725.0,8974191686.0,,,,,730436162.0,,,0
GARAN,2025/6,2025-07-30 18:10:15,0.15079475298468134,0.017541594321890484,,0.0,,,0.00864569479467641,1430224687.0,,81533335041.0,81533335041.0,9484578599.0,,,,,1447415749.0,,,0
GARAN,2025/9,2025-10-30 08:00:08,0.22036874893138897,0.0258494875751288,,0.0,,,0.04900955643245822,2175159987.0,,84147122092.0,84147122092.0,9870546516.0,,,,,2186635462.0,,,0
