date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-02-14,2.4804513,2.5802834,2.236804,2.5133,432876482.0,ARDYZ,2.5133,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.2544463454422473,0,-1,-0.3627899574264911,0,-1,-0.33334659610870176,0,-1,0.788843353360124,1,1,0.7133251104126048,1,1,0.5299805037202083,1,1,0.0
2020-02-17,2.260401,2.5132632,2.0106106,2.2075,38395305.0,ARDYZ,2.2075,0,-0.12167270122945928,,,,,,,,,,-0.024394301994302037,-0.004878860398860408,-0.019515441595441628,,,-38395305.0,-0.038595696489241216,0,-1,-0.2802265005662514,0,-1,-0.2726160815402039,0,-1,0.9822876557191391,1,1,0.901291053227633,1,1,0.6925934314835789,1,1,0.0
2020-02-18,2.0456567,2.2200494,1.9547602,2.1363,23639595.0,ARDYZ,2.1363,0,-0.03225368063420164,,,,,,,,,,-0.04890842119788008,-0.013684772558664344,-0.03522364863921574,,,-62034900.0,0.04376726115245999,1,1,-0.22548331226887597,0,-1,-0.20132940130131538,0,-1,1.0065065767916495,1,1,1.0300519589945236,1,1,0.7607545756682115,1,1,0.0
2020-02-19,2.0297391,2.1404624,1.9547602,1.9645,14832613.0,ARDYZ,1.9645,0,-0.080419416748584,,,,,,,,,,-0.08126212232663343,-0.027200242512258162,-0.05406187981437527,,,-76867513.0,0.10165436497836611,1,1,-0.15703741410027994,0,-1,-0.15561211504199535,0,-1,1.1052176126240774,1,1,1.155001272588445,1,1,0.8749300076355309,1,1,0.0
2020-02-20,1.8581393,2.023177,1.7341516,1.8417,20663732.0,ARDYZ,1.8417,0,-0.06250954441333678,,,,,,,,,,-0.11548041099073769,-0.04485627620795407,-0.07062413478278362,,,-97531245.0,0.16598794591953103,1,1,-0.12814247705923876,0,-1,-0.009882174078297168,0,0,1.1152196340337732,1,1,1.3365911929195855,1,1,1.044415485692567,1,1,1.0
2020-02-21,1.9326996,2.127896,1.714604,2.0679,20264177.0,ARDYZ,2.0679,0,0.12282130640169409,-0.1772172044722079,,,,,,,,,-0.12292915098693635,-0.06047085116375053,-0.06245829982318582,,,-77267068.0,0.04250689104889038,1,1,-0.21069684220706986,0,-1,-0.08172542192562493,0,-1,0.97562744813579,1,1,1.0863678127569032,1,1,0.8140142173219209,1,1,0.0
2020-02-24,2.029041,2.1348772,1.8989102,2.0972,15451929.0,ARDYZ,2.0972,0,0.014168963682963387,-0.0499660249150623,,,,,,,,,-0.12502683444849438,-0.0733820478206993,-0.05164478662779508,,,-61815139.0,0.0,0,0,-0.24036810986076673,0,-1,-0.04062559603280558,0,-1,1.003957657829487,1,1,1.0558840358573338,1,1,0.823383559031089,1,1,0.0
2020-02-25,2.0964804,2.1641989,2.0078182,2.0679,14414707.0,ARDYZ,2.0679,0,-0.013971008964333453,-0.03201797500351078,,,,,,,,,-0.12758283334916243,-0.08422220492639193,-0.0433606284227705,,,-76229846.0,-0.0769863146186952,0,-1,-0.15938875187388168,0,-1,-0.019585086319454437,0,0,0.9634895304415108,1,1,1.1512162096813192,1,1,0.8370327385270082,1,1,0.0
2020-02-26,2.032532,2.0664606,2.0036292,2.0357,9984030.0,ARDYZ,2.0357,0,-0.015571352579912046,0.036243318910664346,,,,,,,,,-0.1307001221363051,-0.09351778836837457,-0.03718233376793054,,,-86213876.0,-0.10630250036842359,0,-1,-0.1316500466669941,0,-1,0.052168787149383666,1,1,0.949304907402859,1,1,1.293609077958442,1,1,1.051726678783711,1,1,0.0
2020-02-27,1.9409374,2.0022333,1.8821547,1.9408,9075821.0,ARDYZ,1.9408,0,-0.046617871002603395,0.05380898083292629,,,,,,,,,-0.13922335270017694,-0.10265890123473505,-0.03656445146544189,,,-95289697.0,-0.24963932399010724,0,-1,-0.05683223413025562,0,-1,0.32373248145094813,1,1,1.0748145094806265,1,1,1.3366652926628193,1,1,1.206873454245672,1,1,1.0
