date,open,high,low,close,volume,symbol,adj_close,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,17.050148,17.140717,16.972996,17.0904,51347874.0,KCHOL,17.0904,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.03728994055142065,1,1,-0.03974746056265488,0,-1,-0.025025745447736614,0,-1,-0.27846042222534284,0,-1,-0.16633899733183533,0,-1,-0.1219924636052988,0,-1,0.0
2020-01-03,16.978867,17.140717,16.746578,17.0233,67013304.0,KCHOL,17.0233,0,-0.003926180779852961,,,,,,,,,,-0.0053527065527063655,-0.0010705413105412732,-0.004282165242165093,,,-67013304.0,0.05911309793048347,1,1,-0.02955361181439553,0,-1,-0.03793036602773836,0,-1,-0.2581050677600699,0,-1,-0.10852184946514476,0,-1,-0.1180323439051183,0,-1,0.0
2020-01-06,16.842176,17.056856,16.746578,16.8388,38970463.0,KCHOL,16.8388,0,-0.01083808662245278,,,,,,,,,,-0.024203371725878498,-0.005697107393608718,-0.01850626433226978,,,-105983767.0,0.06574102667648529,1,1,-0.004483692424638197,0,0,-0.021913675558828394,0,-1,-0.2287336389766491,0,-1,-0.11089270019241271,0,-1,-0.10988312706368619,0,-1,0.0
2020-01-07,16.765026,17.00654,16.70465,16.713,57798367.0,KCHOL,16.713,0,-0.007470841152576124,,,,,,,,,,-0.04873191712678704,-0.014304069340244384,-0.034427847786542655,,,-163782134.0,0.05770358403637865,1,1,0.004517441512594811,1,0,-0.05167833423083834,0,-1,-0.2254771734577874,0,-1,-0.09044456411176938,0,-1,-0.10980673727038837,0,-1,1.0
2020-01-08,16.638401,16.729809,16.486616,16.7214,55266691.94,KCHOL,16.7214,0,0.0005026027643151298,,,,,,,,,,-0.06672400349927443,-0.024788056172050394,-0.04193594732722404,,,-108515442.06,0.056167545779659545,1,1,0.013043166242061144,1,0,-0.037108136878491016,0,-1,-0.22993888071572954,0,-1,-0.08529788175631225,0,-1,-0.1138182209623596,0,-1,1.0
2020-01-09,17.009895,17.258116,16.838825,17.1239,161168127.22,KCHOL,17.1239,0,0.024070950996926133,0.00196016477086558,,,,,,,,,-0.04795171785379537,-0.029420788508399392,-0.01853092934539598,,,52652685.16,0.02154882941386016,1,1,-0.053375691285279525,0,-1,-0.15768604114716855,0,-1,-0.1973148640204625,0,-1,-0.1445932293461185,0,-1,-0.1256956651230151,0,-1,0.0
2020-01-10,17.186836,17.358746,16.989769,17.2246,89859514.0,KCHOL,17.2246,0,0.005880669707251318,0.01182496930677357,,,,,,,,,-0.02466457989390136,-0.02846954678549979,0.003804966891598427,,,142512199.16,-0.024343090695865155,0,-1,-0.02775100728028501,0,-1,-0.14897878615468563,0,-1,-0.2736957607143271,0,-1,-0.1619602196857981,0,-1,-0.13723395608606292,0,-1,0.0
2020-01-13,17.384747,17.492922,17.191029,17.4426,93240200.0,KCHOL,17.4426,0,0.012656317127828887,0.03585766206618057,,,,,,,,,0.011251719987996012,-0.020525293430800628,0.03177701341879664,,,235752399.16,-0.028843177049293067,0,-1,-0.06442273514269659,0,-1,-0.12499856672743737,0,-1,-0.2666632268125164,0,-1,-0.16120303165812422,0,-1,-0.14704229873986663,0,-1,0.0
2020-01-14,17.408224,17.576778,17.29166,17.56,84319326.0,KCHOL,17.56,0,0.006730647953860025,0.05067911206844955,,,,,,,,,0.04862828861354984,-0.006694577021930535,0.055322865635480376,,,320071725.15999997,-0.03820615034168562,0,-1,-0.04727790432801815,0,-1,-0.13944760820045554,0,-1,-0.27738610478359904,0,-1,-0.16244305239179946,0,-1,-0.18038724373576298,0,-1,0.0
2020-01-15,17.51137,17.845127,17.224573,17.4929,102820170.0,KCHOL,17.4929,0,-0.003821184510250597,0.04613848122764841,,,,,,,,,0.07200504991718049,0.00904534836589167,0.06295970155128881,,,217251555.15999997,-0.06327710099526096,0,-1,-0.03547153416528992,0,-1,-0.14141737504930563,0,-1,-0.28532147328344637,0,-1,-0.15241612311280572,0,-1,-0.18941399081913224,0,-1,0.0
2020-01-17,17.506338,17.727724,17.10717,17.7277,87162046.0,KCHOL,17.7277,0,0.013422588593086315,0.03526065907883136,,,,,,,,,0.10823009025572361,0.02888229674385806,0.07934779351186555,3.7289940551420653,,304413601.15999997,-0.0742679535416324,0,-1,-0.060075475103933296,0,-1,-0.17691522306898233,0,-1,-0.2909458079728334,0,-1,-0.1794931096532545,0,-1,-0.2232100046819384,0,-1,0.0
2020-01-20,18.009491,18.130249,17.727724,18.0296,68498135.0,KCHOL,18.0296,0,0.017029845947302835,0.04673548297202834,,,,,,,,,0.15946133165765275,0.054998103726616995,0.10446322793103575,5.911309793048347,,372911736.15999997,-0.08371788614278741,0,-1,-0.09162710209877079,0,-1,-0.20511824998890704,0,-1,-0.3075442605493188,0,-1,-0.19559502152016672,0,-1,-0.24424834716244392,0,-1,0.0
2020-01-21,17.860222,18.147017,17.576778,17.9458,61085550.0,KCHOL,17.9458,0,-0.004647912321959491,0.028848910139543493,,,,,,,,,0.19109764521577333,0.08221801202444827,0.10887963319132506,6.574102667648529,,311826186.15999997,-0.06589285515273757,0,-1,-0.08224765683335378,0,-1,-0.22243087519085236,0,-1,-0.29244725785420544,0,-1,-0.18092812802995684,0,-1,-0.25115625940331443,0,-1,0.0
2020-01-22,17.817451,18.247648,17.543238,17.6774,67939870.0,KCHOL,17.6774,0,-0.014956145727691106,0.006685649202733401,,,,,,,,63.460832874701914,0.19229535361354877,0.10423348034226838,0.08806187327128039,5.770358403637865,0.41630221428571473,243886316.15999997,-0.0502845441071651,0,-1,-0.10341452928598094,0,-1,-0.2642300338285041,0,-1,-0.28699921934221095,0,-1,-0.15885254618891909,0,-1,-0.28699921934221095,0,-1,0.0
2020-01-23,17.602774,17.744497,17.492922,17.6606,76949223.0,KCHOL,17.6606,0,-0.0009503660040504069,0.009586746622915587,,,,,,,,62.975605315856576,0.18970215815751956,0.12132721590531863,0.06837494225220093,5.6167545779659545,0.42229178571428605,166937093.15999997,-0.04083100234420123,0,-1,-0.08831523277804831,0,-1,-0.299616094583423,0,-1,-0.27234069057676413,0,-1,-0.15660849574759628,0,-1,-0.27667802905903527,0,-1,0.0
2020-01-24,17.4577,17.845127,17.29166,17.4929,72695994.0,KCHOL,17.4929,0,-0.009495713622413748,-0.013244808971270894,,,,,,,,60.218469840717226,0.17213082658191325,0.13148793804063755,0.04064288854127571,2.154882941386016,0.4336723571428576,94241099.15999997,-0.07334404244007553,0,-1,-0.17545404135392062,0,-1,-0.31399596407685404,0,-1,-0.2531941530563828,0,-1,-0.16750796037249394,0,-1,-0.2843496504296028,0,-1,0.0
2020-01-28,16.819536,16.989769,16.671104,16.8053,61998812.0,KCHOL,16.8053,0,-0.03930737613546065,-0.06790500066557215,,,,,,,,49.40197793566353,0.10155122689639029,0.1255005958117881,-0.023949368915397812,-2.4343090695865155,0.47020935714285755,32242287.159999967,-0.003492945677851522,0,0,-0.1277454136492654,0,-1,-0.3183638494998602,0,-1,-0.24391709758231028,0,-1,-0.12534141015036915,0,-1,-0.23124847518342417,0,-1,0.0
2020-01-29,16.890816,17.00654,16.771736,16.9395,38722946.0,KCHOL,16.9395,0,0.00798557597900662,-0.0560744018098942,,,,,,,,54.03125333713022,0.05580195390178844,0.11156086742978817,-0.055758913527999734,-2.8843177049293067,0.46541750000000043,70965233.15999997,-0.03663626435254874,0,-1,-0.09901118687092292,0,-1,-0.3297027657250804,0,-1,-0.2514182827120044,0,-1,-0.12422444582189551,0,-1,-0.23331857492842167,0,-1,0.0
2020-01-30,16.73568,16.922684,16.595634,16.8891,52680064.0,KCHOL,16.8891,0,-0.002975294430177966,-0.044593661963863496,,,,,,,,52.94076386209799,0.015302073875798072,0.09230910871899016,-0.07700703484319209,-3.820615034168562,0.47260842857142904,18285169.159999967,-0.00943211894061835,0,0,-0.10526315789473684,0,-1,-0.31082177262257904,0,-1,-0.25926781178393155,0,-1,-0.10547631312503325,0,-1,-0.24363642822885756,0,-1,0.0
2020-01-31,16.520998,16.872368,16.385986,16.386,113260878.0,KCHOL,16.386,0,-0.029788443433930722,-0.07217195338776705,,,,17.23924,,,,37.5012703682374,-0.056736317299844075,0.06250002351522331,-0.11923634081506738,-6.3277100995260955,0.470208285714286,-94975708.84000003,0.029683876479921878,1,1,-0.08341877212254356,0,-1,-0.32139021115586475,0,-1,-0.23392530208714757,0,-1,-0.06450018308311967,0,-1,-0.23080678628097162,0,-1,0.0
2020-02-03,16.397726,16.478231,16.285353,16.4111,60366081.0,KCHOL,16.4111,0,0.001531795435127714,-0.06184223313458592,-0.03974746056265488,0.014979557917528561,,17.205275,,,,35.85856829955155,-0.11052780534571838,0.027894457743034975,-0.13842226308875336,-7.42679535416324,0.457629785714286,-34609627.84000003,0.015331086886314793,1,0,-0.11088226870837425,0,-1,-0.34644844038486144,0,-1,-0.22316602787137985,0,-1,-0.09083486177038713,0,-1,-0.23146528873750083,0,-1,0.0
2020-02-04,16.375923,16.545317,16.25181,16.5202,169220426.0,KCHOL,16.5202,0,0.006647939504359712,-0.01696488607760649,-0.02955361181439553,0.01509115252747754,,17.18012,,,,33.33453783334538,-0.14270942355435778,-0.006226318516443579,-0.1364831050379142,-8.371788614278742,0.4570307857142861,134610798.15999997,-0.008631856757182033,0,0,-0.13249234270771537,0,-1,-0.3162431447561167,0,-1,-0.2319039721068752,0,-1,-0.08395176813840022,0,-1,-0.1896284548613213,0,-1,0.0
2020-02-05,16.69207,16.889137,16.453075,16.7633,161698883.0,KCHOL,16.7633,0,0.014715318216486528,-0.010401723781693573,-0.004483692424638197,0.01532895707061029,,17.176345,,,,36.23103245653456,-0.14690403128415497,-0.03436186106998586,-0.11254217021416911,-6.589285515273757,0.4678125000000006,296309681.15999997,-0.017508485799335505,0,0,-0.16758036902041962,0,-1,-0.31865444154790534,0,-1,-0.2237387626541314,0,-1,-0.11349197353743012,0,-1,-0.2140807597549409,0,-1,0.0
