date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,2.4714916,2.5042748,2.4132106,2.4952,6465299.0,KRDMA,2.4952,2.4714916,2.5042748,2.4132106,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.08756813081115733,1,1,0.04745110612375747,1,1,0.018235011221545472,1,0,-0.25184353959602435,0,-1,-0.0036470022443091388,0,0,0.6751763385700544,1,1,0.0
2020-01-03,2.4204953,2.4769557,2.3403587,2.4496,6183210.0,KRDMA,2.4496,2.4204953,2.4769557,2.3403587,0,-0.018275088169285025,,,,,,,,,,-0.0036376068376067217,-0.0007275213675213444,-0.0029100854700853775,,,-6183210.0,0.14500326583932077,1,1,0.07809438275636826,1,1,-0.011144676681907328,0,0,-0.23048661005878512,0,-1,0.022330176355323195,1,1,0.6691704768125406,1,1,1.0
2020-01-06,2.3767843,2.404104,2.3494651,2.3495,3778000.0,KRDMA,2.3495,2.3767843,2.404104,2.3494651,0,-0.04086381450032672,,,,,,,,,,-0.014431314680887208,-0.0034682800301945173,-0.01096303465069269,,,-9961210.0,0.1744200893807193,1,1,0.1201532240902321,1,1,0.06201319429665886,1,1,-0.19770163864652046,0,-1,0.0658863587997447,1,1,0.7053841242817622,1,1,1.0
2020-01-07,2.393176,2.4132106,2.367678,2.3768,2683441.0,KRDMA,2.3768,2.393176,2.4132106,2.367678,0,0.011619493509257284,,,,,,,,,,-0.02054568618566943,-0.006883761261289501,-0.013661924924379931,,,-7277769.0,0.14174520363513965,1,1,0.07278694042409972,1,1,0.05364355435880186,1,1,-0.1992595085829686,0,-1,0.0766156176371593,1,1,0.555536856277348,1,1,1.0
2020-01-08,2.3594825,2.385891,2.2766135,2.3586,3564834.65,KRDMA,2.3586,2.3594825,2.385891,2.2766135,0,-0.007657354426119034,,,,,,,,,,-0.02655386116878189,-0.01081778124278798,-0.01573607992599391,,,-10842603.65,0.1274060883575001,1,1,0.10421436445348942,1,1,0.08106503858220981,1,1,-0.21237174595098796,0,-1,0.0849232595607563,1,1,0.540532519291105,1,1,1.0
2020-01-09,2.4560106,2.4860623,2.422317,2.477,6456636.5,KRDMA,2.477,2.4560106,2.4860623,2.422317,0,0.05019927075383701,-0.0072940044886182775,,,,,,,,,-0.02151349842143402,-0.012956924678517187,-0.008556573742916832,,,-4385967.15,0.06616875252321353,1,1,0.06984255147355678,1,1,-0.06253532498990721,0,-1,-0.23165119095680253,0,-1,0.04041178845377491,1,1,0.33819136051675436,1,1,1.0
2020-01-10,2.5279517,2.5680199,2.4860623,2.5498,6331711.0,KRDMA,2.5498,2.5279517,2.5680199,2.4860623,0,0.029390391602745147,0.04090463749183515,,,,,,,,,-0.011511920788366936,-0.012667923900487137,0.0011560031121202012,,,1945743.8499999996,0.007137814730567182,1,0,0.03929719978037505,1,1,-0.05714173660679256,0,-1,-0.20358459487018588,0,-1,0.0,0,0,0.3250058828143383,1,1,1.0
2020-01-15,2.7847538,2.8230004,2.7501493,2.7866,8177790.0,KRDMA,2.7866,2.7847538,2.8230004,2.7501493,0,0.09287002902188402,0.18603958288997657,,,,,,,,,0.015345291554216711,-0.0070652808095463685,0.02241057236376308,,,10123533.85,-0.09150936625278117,0,-1,-0.058817196583650255,0,-1,-0.12093590755759698,0,-1,-0.21240938778439666,0,-1,-0.07518122443120645,0,-1,0.2287375296059715,1,1,0.0
2020-01-16,2.7747366,2.8230004,2.7046168,2.7319,7007531.0,KRDMA,2.7319,2.7747366,2.8230004,2.7046168,0,-0.01962965621187107,0.14940255806125902,,,,,,,,,0.03184885915533808,0.0007175471834305222,0.03113131197190756,,,3116002.8499999996,-0.06332589040594461,0,-1,-0.029979135400270862,0,-1,-0.11665873567846563,0,-1,-0.2299864563124565,0,-1,-0.05999487536146997,0,-1,0.3100040265017021,1,1,0.0
2020-01-17,2.7027955,2.7592554,2.6772978,2.6955,5553932.0,KRDMA,2.6955,2.7027955,2.7592554,2.6772978,0,-0.013324060177898112,0.14283897227168652,,,,,,,,,0.04151235104618456,0.00887650795598133,0.03263584309020323,,,-2437929.1500000004,-0.0574290484140233,0,-1,-0.03717306622148031,0,-1,-0.12836208495640888,0,-1,-0.233092190688184,0,-1,0.047301057317751694,1,1,0.30068632906696346,1,1,0.0
