date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2020-01-02,27.208939,27.369057,27.071163,27.2387,29628680.0,TAVHL,27.2387,27.208939,27.369057,27.071163,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.012985201202700525,0,0,-0.07860507292932484,0,-1,-0.10116121547650958,0,-1,-0.3920414704079124,0,-1,-0.37588798290667325,0,-1,-0.2888794252295447,0,-1,0.0
2020-01-03,27.036718,27.369057,26.717413,26.9595,41199970.0,TAVHL,26.9595,27.036718,27.369057,26.717413,0,-0.010250122068968137,,,,,,,,,,-0.022272364672364375,-0.004454472934472875,-0.0178178917378915,,,-41199970.0,-0.002763404365807909,0,0,-0.05939279289304322,0,-1,-0.0738960292290286,0,-1,-0.38426157755151236,0,-1,-0.3675698733285112,0,-1,-0.29561008178935066,0,-1,0.0
2020-01-06,26.328287,26.75465,25.972675,26.1589,30139372.0,TAVHL,26.1589,26.328287,26.75465,25.972675,0,-0.029696396446521556,,,,,,,,,,-0.1033339339778081,-0.024230365143139924,-0.07910356883466818,,,-71339342.0,0.02562034336306196,1,1,-0.04626341321691663,0,-1,-0.07330965751618002,0,-1,-0.3780319508847849,0,-1,-0.30310525289671963,0,-1,-0.2698469736877315,0,-1,0.0
2020-01-07,26.913836,27.182873,26.363663,27.0339,61927465.0,TAVHL,27.0339,26.913836,27.182873,26.363663,0,0.03344941874467189,,,,,,,,,,-0.09586554600939223,-0.03855740131639039,-0.05730814469300184,,,-9411877.0,-0.0013760500704670386,0,0,-0.05096194037856172,0,-1,-0.10123955478121904,0,-1,-0.40371163613093186,0,-1,-0.31641383596151496,0,-1,-0.31012543510185364,0,-1,0.0
2020-01-08,26.711828,26.922215,26.084387,26.6057,35250993.18,TAVHL,26.6057,26.711828,26.922215,26.084387,0,-0.01583937204768826,,,,,,,,,,-0.12308016459813587,-0.05546195397273949,-0.06761821062539639,,,-44662870.18,0.008396696948398397,1,0,-0.03148949285303515,0,-1,-0.12526263169170515,0,-1,-0.3599115978906775,0,-1,-0.3084188726475906,0,-1,-0.3035327016391224,0,-1,0.0
2020-01-09,27.171701,27.369057,26.903597,27.2201,92220488.7,TAVHL,27.2201,27.171701,27.369057,26.903597,0,0.023092795904636976,-0.0006828519716434167,,,,,,,,,-0.09398757044859707,-0.063167077267911,-0.030820493180686068,,,47557618.52,-0.00820717043655228,0,0,-0.0677146667352434,0,-1,-0.149110400035268,0,-1,-0.37619626672936535,0,-1,-0.31264029154925954,0,-1,-0.3343154507147291,0,-1,0.0
2020-01-10,27.297377,27.406294,27.127018,27.3691,71417329.0,TAVHL,27.3691,27.297377,27.406294,27.127018,0,0.005473896128228795,0.015193160110536175,,,,,,,,,-0.05823710414398775,-0.062181082643126356,0.003943978499138606,,,118974947.52000001,-0.0272131710578718,0,-1,-0.08843549842705833,0,-1,-0.18095224176169478,0,-1,-0.3741116806909983,0,-1,-0.24805711550617304,0,-1,-0.3540160253716783,0,-1,0.0
2020-01-13,27.516142,27.629715,27.369057,27.4808,89022675.0,TAVHL,27.4808,27.516142,27.629715,27.369057,0,0.004081244907578219,0.05053347044409362,,,,,,,,,-0.02065326753331931,-0.05387551962116495,0.03322225208784564,,,207997622.52,-0.07655890658205,0,-1,-0.08672236616110152,0,-1,-0.2154486041163285,0,-1,-0.35191115251375504,0,-1,-0.2576635323571367,0,-1,-0.36792233122762064,0,-1,0.0
2020-01-14,27.336475,27.518003,27.164255,27.1829,60906777.0,TAVHL,27.1829,27.336475,27.518003,27.164255,0,-0.010840295770137676,0.005511598400526729,,,,,,,,,-0.014735979390678722,-0.046047611575067704,0.03131163218438898,,,147090845.52,-0.08219137766757778,0,-1,-0.07671366925530387,0,-1,-0.24246493199768981,0,-1,-0.3245753764315066,0,-1,-0.2532069793877768,0,-1,-0.3727674383527879,0,-1,0.0
2020-01-15,27.425844,27.66695,27.145636,27.6483,61183174.0,TAVHL,27.6483,27.425844,27.66695,27.145636,0,0.017121057723789468,0.039187091487914216,,,,,,,,,0.027193929887921797,-0.03139930328246981,0.058593233170391605,,,208274019.52,-0.09494977991413578,0,-1,-0.10302984270280624,0,-1,-0.3144786478734678,0,-1,-0.2929040845187588,0,-1,-0.2520335789180528,0,-1,-0.36704969202446436,0,-1,0.0
