date,open,high,low,close,volume,symbol,adj_close,adj_open,adj_high,adj_low,is_dividend_day,return_1d,return_5d,return_20d,vol_20d,vol_60d,sma_20,sma_50,sma_200,distance_from_ma200,rsi_14,macd,macd_signal,macd_hist,roc_10,atr_14,obv,future_return_10d,y_10d_up,y_10d_triclass,future_return_20d,y_20d_up,y_20d_triclass,future_return_30d,y_30d_up,y_30d_triclass,future_return_60d,y_60d_up,y_60d_triclass,future_return_90d,y_90d_up,y_90d_triclass,future_return_120d,y_120d_up,y_120d_triclass,y_triple_20d
2021-09-20,3.7405777,3.8933957,3.4441576,3.4442,1526938817.0,TEZOL,0.6888399999999999,0.7481155399999998,0.7786791399999999,0.6888315199999999,0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,-0.17670286278381053,0,-1,-0.22074792404622268,0,-1,-0.23523604900992967,0,-1,-0.186197084954416,0,-1,-0.12711224667557053,0,-1,-0.18062249579002398,0,-1,0.0
2021-09-21,3.3249366,3.5228703,3.2214584,3.2349,646395493.0,TEZOL,0.6469799999999999,0.6649873199999999,0.7045740599999999,0.6442916799999999,0,-0.06076882875558909,,,,,,,,,,-0.003339259259259264,-0.0006678518518518529,-0.0026714074074074114,,,-646395493.0,-0.15845930322421087,0,-1,-0.17212278586664187,0,-1,-0.17509042010572207,0,-1,-0.10800952115985052,0,-1,-0.051624470617329776,0,-1,-0.12284769235525062,0,-1,0.0
2021-09-22,3.3571897,3.4940727,3.2406564,3.3213,473569287.0,TEZOL,0.6642599999999999,0.6714379399999999,0.6988145399999999,0.64813128,0,0.02670870815172033,,,,,,,,,,-0.004538972248601891,-0.0014420759312018605,-0.0030968963174000308,,,-172826206.0,-0.18149519766356537,0,-1,-0.20230030409779298,0,-1,-0.1861319362900069,0,-1,-0.1317857465450275,0,-1,-0.0641616234606931,0,-1,-0.13988498479511036,0,-1,0.0
2021-09-24,3.031204,3.1677034,2.9181266,2.9565,165912087.0,TEZOL,0.5912999999999999,0.6062407999999998,0.63354068,0.5836253199999999,0,-0.10983650980037929,,,,,,,,,,-0.011247363083572881,-0.003403133361676065,-0.007844229721896816,,,-338738293.0,-0.09609335362760019,0,-1,-0.0967360054118046,0,-1,-0.08050059191611703,0,-1,-0.04349737865719616,0,-1,0.03378995433789944,1,1,-0.01623541349568758,0,0,0.0
2021-09-27,3.039843,3.1350667,2.9642024,2.9776,177226109.0,TEZOL,0.5955199999999998,0.6079685999999999,0.6270133399999999,0.5928404799999999,0,0.007136817182479049,,,,,,,,,,-0.016038411594349822,-0.005930189008210816,-0.010108222586139005,,,-161512184.0,-0.05222326706072011,0,-1,-0.10830870499731315,0,-1,-0.10249865663621693,0,-1,-0.021896829661472217,0,-1,0.039998656636217156,1,1,0.0,0,0,0.0
2021-09-28,2.9259977,3.0275564,2.8432539,2.8605,142409283.0,TEZOL,0.5720999999999999,0.5851995399999999,0.6055112799999999,0.5686507799999999,0,-0.03932697474476066,-0.16947331746123917,,,,,,,,,-0.02147757026696029,-0.009039665259960711,-0.012437905006999577,,,-303921467.0,-0.03890928159412699,0,-1,-0.06977801083726631,0,-1,-0.07044223037930453,0,-1,0.012760006991784367,1,0,0.10134591854570862,1,1,0.07988113966089849,1,1,0.0
2021-09-29,2.92811,3.0601933,2.8029377,2.92,248387561.0,TEZOL,0.5839999999999999,0.585622,0.6120386599999998,0.56058754,0,0.02080055934277203,-0.09734458561315662,,,,,,,,,-0.024544972984624214,-0.012140726804893412,-0.012404246179730802,,,-55533906.0,-0.07558219178082182,0,-1,-0.09530821917808208,0,-1,-0.08873287671232877,0,-1,0.025650684931506795,1,1,0.056575342465753575,1,1,0.038801369863013635,1,1,0.0
2021-09-30,2.8582282,2.9334853,2.8106167,2.8202,83667847.0,TEZOL,0.5640399999999999,0.57164564,0.5866970599999999,0.56212334,0,-0.034178082191780756,-0.15087465751362417,,,,,,,,,-0.028260744652484848,-0.0153647303744117,-0.012896014278073149,,,-139201753.0,-0.04765619459612802,0,-1,-0.06669739734770586,0,-1,-0.050386497411530895,0,-1,0.058541947379618486,1,1,0.09258208637685272,1,1,0.06261967236366228,1,1,0.0
2021-10-01,2.8993125,3.0006788,2.7741401,2.8625,233007912.0,TEZOL,0.5724999999999999,0.5798625,0.6001357599999999,0.5548280199999999,0,0.014998936245656402,-0.031794351429054735,,,,,,,,,-0.030175030208187792,-0.01832679034116692,-0.011848239867020872,,,93806159.0,-0.07179039301310053,0,-1,-0.07514410480349332,0,-1,-0.07042794759825333,0,-1,0.03350218340611355,1,1,0.0663755458515285,1,1,0.0663755458515285,1,1,0.0
2021-10-04,2.8900974,2.9296455,2.8547728,2.8701,92336453.0,TEZOL,0.5740199999999999,0.5780194799999999,0.5859290999999999,0.5709545599999999,0,0.0026550218340610776,-0.036102901665771014,,,,,,,,,-0.03120969803435758,-0.020903371879805052,-0.010306326154552528,,,186142612.0,-0.06553778613985572,0,-1,-0.058186125918957554,0,-1,-0.07024145500156798,0,-1,0.039475976446813776,1,1,0.06421379046026265,1,1,0.04215880979756803,1,1,0.0
