date,bist100,cpi,eur_try,m2,tcmb_repo,us_cli,us_cpi,usd_try
2020-01-01,890.85,446.45,7.2107,2469235642.0,1978.0,98.9,118.30520212,6.5696
2020-01-02,890.85,446.45,7.2107,2469235642.0,1978.0,98.9,118.30520212,6.5696
2020-01-03,890.85,446.45,7.2107,2469235642.0,1978.0,98.9,118.30520212,6.5696
2020-01-04,890.85,446.45,7.2107,2469235642.0,1978.0,98.9,118.30520212,6.5696
2020-01-05,890.85,446.45,7.2107,2469235642.0,1978.0,98.9,118.30520212,6.5696
2020-01-06,1072.66,446.45,7.577,2469235642.0,1978.0,98.9,118.30520212,6.8138
2020-01-07,1153.15,446.45,7.672,2469235642.0,1978.0,98.9,118.30520212,6.8432
2020-01-08,1153.15,446.45,7.672,2469235642.0,1978.0,98.9,118.30520212,6.8432
2020-01-09,1085.19,446.45,8.7284,2469235642.0,1978.0,98.9,118.30520212,7.3261
2020-01-10,1143.51,446.45,9.0835,2469235642.0,1978.0,98.9,118.30520212,7.7522
2020-01-11,1143.51,446.45,9.0835,2469235642.0,1978.0,98.9,118.30520212,7.7522
2020-01-12,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-13,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-14,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-15,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-16,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-17,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-18,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-19,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-20,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-21,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-22,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-23,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-24,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-25,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-26,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-27,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-28,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-29,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-30,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-01-31,1325.29,446.45,9.3306,2469235642.0,1978.0,98.9,118.30520212,7.7892
2020-02-01,1159.32,448.02,6.6621,2556911596.0,1613.0,98.7,118.6294315,5.94
2020-02-02,1159.32,448.02,6.6621,2556911596.0,1613.0,98.7,118.6294315,5.94
2020-02-03,1073.1,448.02,6.8592,2556911596.0,1613.0,98.7,118.6294315,6.2259
2020-02-04,895.11,448.02,7.2756,2556911596.0,1613.0,98.7,118.6294315,6.6428
2020-02-05,895.11,448.02,7.2756,2556911596.0,1613.0,98.7,118.6294315,6.6428
2020-02-06,1080.97,448.02,7.5724,2556911596.0,1613.0,98.7,118.6294315,6.8059
2020-02-07,1169.08,448.02,7.6774,2556911596.0,1613.0,98.7,118.6294315,6.8432
2020-02-08,1169.08,448.02,7.6774,2556911596.0,1613.0,98.7,118.6294315,6.8432
2020-02-09,1083.91,448.02,8.7979,2556911596.0,1613.0,98.7,118.6294315,7.3421
2020-02-10,1145.03,448.02,9.0376,2556911596.0,1613.0,98.7,118.6294315,7.6946
2020-02-11,1133.59,448.02,9.6985,2556911596.0,1613.0,98.7,118.6294315,8.3082
2020-02-12,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-13,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-14,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-15,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-16,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-17,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-18,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-19,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-20,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-21,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-22,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-23,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-24,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-25,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-26,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-27,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-28,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-02-29,1325.49,448.02,9.3868,2556911596.0,1613.0,98.7,118.6294315,7.8412
2020-03-01,1136.84,450.58,6.663,2681493623.0,1363.0,97.1,118.37124035,5.9478
2020-03-02,1192.43,450.58,6.5864,2681493623.0,1363.0,97.1,118.37124035,5.9726
2020-03-03,1112.07,450.58,6.8903,2681493623.0,1363.0,97.1,118.37124035,6.2192
2020-03-04,895.53,450.58,7.2849,2681493623.0,1363.0,97.1,118.37124035,6.6672
2020-03-05,895.53,450.58,7.2849,2681493623.0,1363.0,97.1,118.37124035,6.6672
2020-03-06,1091.11,450.58,7.5654,2681493623.0,1363.0,97.1,118.37124035,6.7817
2020-03-07,1157.48,450.58,7.7211,2681493623.0,1363.0,97.1,118.37124035,6.8428
2020-03-08,1157.48,450.58,7.7211,2681493623.0,1363.0,97.1,118.37124035,6.8428
2020-03-09,1076.34,450.58,8.7321,2681493623.0,1363.0,97.1,118.37124035,7.3563
2020-03-10,1076.34,450.58,8.7321,2681493623.0,1363.0,97.1,118.37124035,7.3563
2020-03-11,1150.71,450.58,9.7506,2681493623.0,1363.0,97.1,118.37124035,8.376
2020-03-12,1330.85,450.58,9.4134,2681493623.0,1363.0,97.1,118.37124035,7.808
