symbol,period,item_code,item_name_tr,item_name_en,value
AGHOL,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,3564628735.0
AGHOL,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,1732670362.0
AGHOL,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,8611003.0
AGHOL,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,461380118.0
AGHOL,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
AGHOL,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,26023652.0
AGHOL,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
AGHOL,2020/12,1AF,Stoklar,Inventories,964505900.0
AGHOL,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
AGHOL,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,327591858.0
AGHOL,2020/12,1AI,(Ara Toplam),(Subtotal),3520782892.0
AGHOL,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,43845843.0
AGHOL,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,6293564519.0
AGHOL,2020/12,1B,Ticari Alacaklar,Trade Receivables,241097.0
AGHOL,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
AGHOL,2020/12,1BB,Diğer Alacaklar,Other Receivables,7866051.0
AGHOL,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
AGHOL,2020/12,1BC,Finansal Yatırımlar,Financial Investments,1505375.0
AGHOL,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,18955561.0
AGHOL,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
AGHOL,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,23331226.0
AGHOL,2020/12,1BFA,Stoklar,Stoklar,0.0
AGHOL,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,456094690.0
AGHOL,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,2202481198.0
AGHOL,2020/12,1BGA,Şerefiye,Goodwill,943440203.0
AGHOL,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,2380787063.0
AGHOL,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,162712742.0
AGHOL,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,96149313.0
AGHOL,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,9858193254.0
AGHOL,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
AGHOL,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,3764933066.0
AGHOL,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,1225108911.0
AGHOL,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
AGHOL,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,1922096681.0
AGHOL,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,335435306.0
AGHOL,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
AGHOL,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
AGHOL,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
AGHOL,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,52431014.0
AGHOL,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),18734107.0
AGHOL,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,69316534.0
AGHOL,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,132338047.0
AGHOL,2020/12,2AAGG,(Ara Toplam),(Subtotal),3755460600.0
AGHOL,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,9472466.0
AGHOL,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,2838092080.0
AGHOL,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,2245620569.0
AGHOL,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
AGHOL,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,6663527.0
AGHOL,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,4859876.0
AGHOL,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
AGHOL,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
AGHOL,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
AGHOL,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,8333715.0
AGHOL,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,75121692.0
AGHOL,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
AGHOL,2020/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,457217162.0
AGHOL,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,40275539.0
AGHOL,2020/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,3255168108.0
AGHOL,2020/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,774907772.0
AGHOL,2020/12,2OA,Ödenmiş Sermaye,Share Capital,32765348.0
AGHOL,2020/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
AGHOL,2020/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,80351420.0
AGHOL,2020/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
AGHOL,2020/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,387495392.0
AGHOL,2020/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,85951538.0
AGHOL,2020/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),388283800.0
AGHOL,2020/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),-47175993.0
AGHOL,2020/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,-152763733.0
AGHOL,2020/12,2ODA,Azınlık Payları,Minority Interests,2480260336.0
AGHOL,2020/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,9858193254.0
AGHOL,2020/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
AGHOL,2020/12,3C,Satış Gelirleri,Net Sales,8834023034.0
AGHOL,2020/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-6257865157.0
AGHOL,2020/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
AGHOL,2020/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,2576157877.0
AGHOL,2020/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
AGHOL,2020/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
AGHOL,2020/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
AGHOL,2020/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
AGHOL,2020/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
AGHOL,2020/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),2576157877.0
AGHOL,2020/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-1498938141.0
AGHOL,2020/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-392273840.0
AGHOL,2020/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),-939446.0
AGHOL,2020/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,176905595.0
AGHOL,2020/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-227910890.0
AGHOL,2020/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
AGHOL,2020/12,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,633001155.0
AGHOL,2020/12,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,684006450.0
AGHOL,2020/12,3HA,Yatırım Faaliyetlerinden Gelirler,nan,101863028.0
AGHOL,2020/12,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,-30488457.0
AGHOL,2020/12,3HAB,Diğer Gelir ve Giderler,nan,0.0
AGHOL,2020/12,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,-39812624.0
AGHOL,2020/12,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,664563102.0
AGHOL,2020/12,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),416057822.0
AGHOL,2020/12,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-852738778.0
AGHOL,2020/12,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,71374571.0
AGHOL,2020/12,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,227882146.0
AGHOL,2020/12,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-128482425.0
AGHOL,2020/12,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-114943557.0
AGHOL,2020/12,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,-13538868.0
AGHOL,2020/12,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
AGHOL,2020/12,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,99399721.0
AGHOL,2020/12,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
AGHOL,2020/12,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,-22192815.0
AGHOL,2020/12,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,77206907.0
AGHOL,2020/12,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
AGHOL,2020/12,3LB,Azınlık Payları,Minority Interests,127102711.0
AGHOL,2020/12,3Z,Ana Ortaklık Payları,Parent Shares,-49895804.0
AGHOL,2020/12,3ZD,Hisse Başına Kazanç,Earnings per Share,0.0
AGHOL,2020/12,3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,0.0
AGHOL,2020/12,3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,0.0
AGHOL,2020/12,3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,0.0
AGHOL,2020/12,4B,Amortisman Giderleri,Depreciation & Amortization,446542722.0
AGHOL,2020/12,4BA,Kıdem Tazminatı,Severance Payments,20360027.0
AGHOL,2020/12,4BB,Finansman Giderleri,Financial Expenses,-852738778.0
AGHOL,2020/12,4BC,Yurtiçi Satışlar,Domestic Sales,6128828200.0
AGHOL,2020/12,4BD,Yurtdışı Satışlar,Export Sales,2709437994.0
AGHOL,2020/12,4BE,Net Yabancı Para Pozisyonu,Net Fx Position,-1253546608.0
AGHOL,2020/12,4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,-1207351812.0
AGHOL,2020/12,4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),-91025531.0
AGHOL,2020/12,4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,1355670183.0
AGHOL,2020/12,4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,77206907.0
AGHOL,2020/12,4CAA,Düzeltmeler:,Adjustments:,1061467720.0
AGHOL,2020/12,4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,446542722.0
AGHOL,2020/12,4CAC,Karşılıklardaki Değişim,Change in Provisions,37605879.0
AGHOL,2020/12,4CAD,Diğer Gelir/ Gider,Other Income / Expense,577319119.0
AGHOL,2020/12,4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),1138674627.0
AGHOL,2020/12,4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,347918947.0
AGHOL,2020/12,4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),1486593574.0
AGHOL,2020/12,4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,-130923391.0
AGHOL,2020/12,4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),-167697400.0
AGHOL,2020/12,4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,16664853.0
AGHOL,2020/12,4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,-151032547.0
AGHOL,2020/12,4CB,Serbest Nakit Akım,Free Cash Flow,1204637635.0
AGHOL,2020/12,4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,-306283069.0
AGHOL,2020/12,4CBB,Temettü Ödemeleri,Dividends Paid,-26085355.0
AGHOL,2020/12,4CBC,Sermaye Artırımı,Rights Issue,1850860.0
AGHOL,2020/12,4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,-362293668.0
AGHOL,2020/12,4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,-692811232.0
AGHOL,2020/12,4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,511826403.0
AGHOL,2020/12,4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,50075241.0
AGHOL,2020/12,4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,0.0
AGHOL,2020/12,4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,561901644.0
AGHOL,2020/12,4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,0.0
AGHOL,2020/12,4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,1267703046.0
AGHOL,2020/12,4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,1829604690.0
AGHOL,2020/3,1A,Dönen Varlıklar,CURRENT ASSETS,3314224569.0
AGHOL,2020/3,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,1326666869.0
AGHOL,2020/3,1AB,Finansal Yatırımlar,Short-Term Financial Investments,111213097.0
AGHOL,2020/3,1AC,Ticari Alacaklar,Short-Term Trade Receivables,539772696.0
AGHOL,2020/3,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
AGHOL,2020/3,1AE,Diğer Alacaklar,Short-Term Other Receivables,32247208.0
AGHOL,2020/3,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
AGHOL,2020/3,1AF,Stoklar,Inventories,953996657.0
AGHOL,2020/3,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
AGHOL,2020/3,1AH,Diğer Dönen Varlıklar,Other Current Assets,349417154.0
AGHOL,2020/3,1AI,(Ara Toplam),(Subtotal),3313313682.0
AGHOL,2020/3,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,910887.0
AGHOL,2020/3,1AK,Duran Varlıklar,LONG TERM ASSETS,6791706906.0
AGHOL,2020/3,1B,Ticari Alacaklar,Trade Receivables,226848.0
AGHOL,2020/3,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
AGHOL,2020/3,1BB,Diğer Alacaklar,Other Receivables,14439565.0
AGHOL,2020/3,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
AGHOL,2020/3,1BC,Finansal Yatırımlar,Financial Investments,726886.0
AGHOL,2020/3,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,21767074.0
AGHOL,2020/3,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
AGHOL,2020/3,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,45952594.0
AGHOL,2020/3,1BFA,Stoklar,Stoklar,0.0
AGHOL,2020/3,1BFAA,Kullanım Hakkı Varlıkları,nan,544950695.0
AGHOL,2020/3,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,2405369749.0
AGHOL,2020/3,1BGA,Şerefiye,Goodwill,986616121.0
AGHOL,2020/3,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,2401332067.0
AGHOL,2020/3,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,187263390.0
AGHOL,2020/3,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,183061916.0
AGHOL,2020/3,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,10105931475.0
AGHOL,2020/3,1BM,KAYNAKLAR,LIABILITIES,0.0
AGHOL,2020/3,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,3468399605.0
AGHOL,2020/3,2AA,Finansal Borçlar,Short-Term Financial Loans,1271353643.0
AGHOL,2020/3,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
AGHOL,2020/3,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,1764856796.0
AGHOL,2020/3,2AAGAB,Diğer Borçlar,Other Short-Term Loans,236173213.0
