symbol,period,item_code,item_name_tr,item_name_en,value
PETKM,2022/12,1A,Dönen Varlıklar,CURRENT ASSETS,3049904121.0
PETKM,2022/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,1165661542.0
PETKM,2022/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,103491779.0
PETKM,2022/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,416501014.0
PETKM,2022/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
PETKM,2022/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,2167841.0
PETKM,2022/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
PETKM,2022/12,1AF,Stoklar,Inventories,407188821.0
PETKM,2022/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
PETKM,2022/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,954893124.0
PETKM,2022/12,1AI,(Ara Toplam),(Subtotal),3049904121.0
PETKM,2022/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
PETKM,2022/12,1AK,Duran Varlıklar,LONG TERM ASSETS,2461351537.0
PETKM,2022/12,1B,Ticari Alacaklar,Trade Receivables,0.0
PETKM,2022/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
PETKM,2022/12,1BB,Diğer Alacaklar,Other Receivables,1166133.0
PETKM,2022/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
PETKM,2022/12,1BC,Finansal Yatırımlar,Financial Investments,3531337.0
PETKM,2022/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
PETKM,2022/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
PETKM,2022/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,494902840.0
PETKM,2022/12,1BFA,Stoklar,Stoklar,0.0
PETKM,2022/12,1BFAA,Kullanım Hakkı Varlıkları,nan,40000427.0
PETKM,2022/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1868036515.0
PETKM,2022/12,1BGA,Şerefiye,Goodwill,0.0
PETKM,2022/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,19192345.0
PETKM,2022/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,14119368.0
PETKM,2022/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,20402573.0
PETKM,2022/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,5511255659.0
PETKM,2022/12,1BM,KAYNAKLAR,LIABILITIES,0.0
PETKM,2022/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,2746066464.0
PETKM,2022/12,2AA,Finansal Borçlar,Short-Term Financial Loans,2262995302.0
PETKM,2022/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
PETKM,2022/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,387696722.0
PETKM,2022/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,1576447.0
PETKM,2022/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
PETKM,2022/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
PETKM,2022/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
PETKM,2022/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,30142644.0
PETKM,2022/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),0.0
PETKM,2022/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,48596039.0
PETKM,2022/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,15059310.0
PETKM,2022/12,2AAGG,(Ara Toplam),(Subtotal),2746066464.0
PETKM,2022/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
PETKM,2022/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,387549488.0
PETKM,2022/12,2BA,Finansal Borçlar,Long-Term Financial Loans,263630952.0
PETKM,2022/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
PETKM,2022/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
PETKM,2022/12,2BBB,Diğer Borçlar,Other Long-Term Loans,0.0
PETKM,2022/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
PETKM,2022/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
PETKM,2022/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
PETKM,2022/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,73685832.0
PETKM,2022/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,45539344.0
PETKM,2022/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
PETKM,2022/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,4693359.0
PETKM,2022/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
PETKM,2022/12,2N,Özkaynaklar,SHAREHOLDERS EQUITY,2377639707.0
PETKM,2022/12,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,2374567959.0
PETKM,2022/12,2OA,Ödenmiş Sermaye,Share Capital,135297886.0
PETKM,2022/12,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
PETKM,2022/12,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,26729660.0
PETKM,2022/12,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
PETKM,2022/12,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,-37917574.0
PETKM,2022/12,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,143762706.0
PETKM,2022/12,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),705537369.0
PETKM,2022/12,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),-68361253.0
PETKM,2022/12,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,1469519165.0
PETKM,2022/12,2ODA,Azınlık Payları,Minority Interests,3071749.0
PETKM,2022/12,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,5511255659.0
PETKM,2022/12,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
PETKM,2022/12,3C,Satış Gelirleri,Net Sales,5889690695.0
PETKM,2022/12,3CA,Satışların Maliyeti (-),Cost Of Sales,-5853167938.0
PETKM,2022/12,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
PETKM,2022/12,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,36522757.0
PETKM,2022/12,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
PETKM,2022/12,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
PETKM,2022/12,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
PETKM,2022/12,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
PETKM,2022/12,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
PETKM,2022/12,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),36522757.0
PETKM,2022/12,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-61556205.0
PETKM,2022/12,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-145801952.0
PETKM,2022/12,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),0.0
PETKM,2022/12,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,209638143.0
PETKM,2022/12,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-127482735.0
PETKM,2022/12,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
PETKM,2022/12,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,-88679991.0
PETKM,2022/12,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,-170835400.0
PETKM,2022/12,3HA,Yatırım Faaliyetlerinden Gelirler,nan,164271095.0
PETKM,2022/12,3HAA,Yatırım Faaliyetlerinden Giderler (-),nan,-14084.0
PETKM,2022/12,3HAB,Diğer Gelir ve Giderler,nan,0.0
PETKM,2022/12,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0.0
PETKM,2022/12,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,nan,75577020.0
PETKM,2022/12,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),710374625.0
PETKM,2022/12,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),-1019783092.0
PETKM,2022/12,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,164257011.0
PETKM,2022/12,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,-233831447.0
PETKM,2022/12,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,153055754.0
PETKM,2022/12,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),0.0
PETKM,2022/12,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,153055754.0
PETKM,2022/12,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
PETKM,2022/12,3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,-80775693.0
PETKM,2022/12,3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,0.0
PETKM,2022/12,3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,0.0
PETKM,2022/12,3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,-80775693.0
PETKM,2022/12,3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),0.0
