symbol,period,item_code,item_name_tr,item_name_en,value
SAHOL,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,36257530103.0
SAHOL,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,2667687112.0
SAHOL,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,4816495755.0
SAHOL,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,248302097.0
SAHOL,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,20195705060.0
SAHOL,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,605101242.0
SAHOL,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
SAHOL,2020/12,1AF,Stoklar,Inventories,506054866.0
SAHOL,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
SAHOL,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,7182903925.0
SAHOL,2020/12,1AI,(Ara Toplam),(Subtotal),36222250057.0
SAHOL,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,35280046.0
SAHOL,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,31182077845.0
SAHOL,2020/12,1B,Ticari Alacaklar,Trade Receivables,76150.0
SAHOL,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,15737308111.0
SAHOL,2020/12,1BB,Diğer Alacaklar,Other Receivables,520622519.0
SAHOL,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
SAHOL,2020/12,1BC,Finansal Yatırımlar,Financial Investments,9891967926.0
SAHOL,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,1116468040.0
SAHOL,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
SAHOL,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,31625385.0
SAHOL,2020/12,1BFA,Stoklar,Stoklar,0.0
SAHOL,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,232967428.0
SAHOL,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,1070892273.0
SAHOL,2020/12,1BGA,Şerefiye,Goodwill,215357811.0
SAHOL,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,306117562.0
SAHOL,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,96771698.0
SAHOL,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,1961902942.0
SAHOL,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,67439607949.0
SAHOL,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
SAHOL,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,47266887672.0
SAHOL,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,4587979873.0
SAHOL,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
SAHOL,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,675888170.0
SAHOL,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,1222789296.0
SAHOL,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,0.0
SAHOL,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,39336336190.0
SAHOL,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
SAHOL,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,28127464.0
SAHOL,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),157660742.0
SAHOL,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,162745167.0
SAHOL,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,1094818976.0
SAHOL,2020/12,2AAGG,(Ara Toplam),(Subtotal),47266345877.0
SAHOL,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,541795.0
SAHOL,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,9842302797.0
SAHOL,2020/12,2BA,Finansal Borçlar,Long-Term Financial Loans,5394315121.0
SAHOL,2020/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
SAHOL,2020/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
SAHOL,2020/12,2BBB,Diğer Borçlar,Other Long-Term Loans,596169763.0
SAHOL,2020/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
SAHOL,2020/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,2430616869.0
SAHOL,2020/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
SAHOL,2020/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,18487225.0
SAHOL,2020/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,127333271.0
SAHOL,2020/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
SAHOL,2020/12,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,42821182.0
SAHOL,2020/12,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,1232559366.0
