symbol,period,item_code,item_name_tr,item_name_en,value
SISE,2022/12,1A,Dönen Varlıklar,CURRENT ASSETS,6619597694.0
SISE,2022/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,2220617766.0
SISE,2022/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,336718663.0
SISE,2022/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,1745230568.0
SISE,2022/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
SISE,2022/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,39732970.0
SISE,2022/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,9476884.0
SISE,2022/12,1AF,Stoklar,Inventories,1837011157.0
SISE,2022/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
SISE,2022/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,430809684.0
SISE,2022/12,1AI,(Ara Toplam),(Subtotal),6619597694.0
SISE,2022/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
SISE,2022/12,1AK,Duran Varlıklar,LONG TERM ASSETS,8807759022.0
SISE,2022/12,1B,Ticari Alacaklar,Trade Receivables,0.0
SISE,2022/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
SISE,2022/12,1BB,Diğer Alacaklar,Other Receivables,8944747.0
SISE,2022/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
SISE,2022/12,1BC,Finansal Yatırımlar,Financial Investments,70718343.0
SISE,2022/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,166370809.0
SISE,2022/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
SISE,2022/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,488421631.0
SISE,2022/12,1BFA,Stoklar,Stoklar,0.0
SISE,2022/12,1BFAA,Kullanım Hakkı Varlıkları,nan,99603940.0
SISE,2022/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,5593481849.0
SISE,2022/12,1BGA,Şerefiye,Goodwill,71460602.0
SISE,2022/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,1898205264.0
SISE,2022/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,76224909.0
SISE,2022/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,334326927.0
SISE,2022/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,15427356716.0
SISE,2022/12,1BM,KAYNAKLAR,LIABILITIES,0.0
SISE,2022/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,3128842622.0
SISE,2022/12,2AA,Finansal Borçlar,Short-Term Financial Loans,1635049434.0
SISE,2022/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
SISE,2022/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,996759502.0
SISE,2022/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,57526105.0
SISE,2022/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,19603246.0
SISE,2022/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
SISE,2022/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
SISE,2022/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,121507367.0
SISE,2022/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),7274343.0
SISE,2022/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,100130899.0
SISE,2022/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,190991725.0
SISE,2022/12,2AAGG,(Ara Toplam),(Subtotal),3128842622.0
SISE,2022/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
SISE,2022/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,3038938608.0
SISE,2022/12,2BA,Finansal Borçlar,Long-Term Financial Loans,2491507260.0
SISE,2022/12,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
SISE,2022/12,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
SISE,2022/12,2BBB,Diğer Borçlar,Other Long-Term Loans,449818.0
SISE,2022/12,2BBBA,Müşteri Söz.Doğan Yük.,nan,0.0
SISE,2022/12,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
SISE,2022/12,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
SISE,2022/12,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),nan,23435832.0
SISE,2022/12,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,326406577.0
SISE,2022/12,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
