symbol,period,item_code,item_name_tr,item_name_en,value
TOASO,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,1727685229.0
TOASO,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,571771900.0
TOASO,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,134810.0
TOASO,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,739033191.0
TOASO,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,188406366.0
TOASO,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,13589.0
TOASO,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
TOASO,2020/12,1AF,Stoklar,Inventories,205035317.0
TOASO,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
TOASO,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,23290056.0
TOASO,2020/12,1AI,(Ara Toplam),(Subtotal),1727685229.0
TOASO,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
TOASO,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,892576722.0
TOASO,2020/12,1B,Ticari Alacaklar,Trade Receivables,0.0
TOASO,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,196362022.0
TOASO,2020/12,1BB,Diğer Alacaklar,Other Receivables,31483.0
TOASO,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,0.0
TOASO,2020/12,1BC,Finansal Yatırımlar,Financial Investments,0.0
TOASO,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
TOASO,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
TOASO,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,9283302.0
TOASO,2020/12,1BFA,Stoklar,Stoklar,0.0
TOASO,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,1321996.0
TOASO,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,274124208.0
TOASO,2020/12,1BGA,Şerefiye,Goodwill,0.0
TOASO,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,252974558.0
TOASO,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,147957943.0
TOASO,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,10521210.0
