symbol,period,item_code,item_name_tr,item_name_en,value
TRMET,2020/3,1A,Dönen Varlıklar,CURRENT ASSETS,862410697.0
TRMET,2020/3,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,768815316.0
TRMET,2020/3,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
TRMET,2020/3,1AC,Ticari Alacaklar,Short-Term Trade Receivables,4032515.0
TRMET,2020/3,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
TRMET,2020/3,1AE,Diğer Alacaklar,Short-Term Other Receivables,21066930.0
TRMET,2020/3,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,,0.0
TRMET,2020/3,1AF,Stoklar,Inventories,61290891.0
TRMET,2020/3,1AG,Canlı Varlıklar,Short-Term Live Assets,1713287.0
TRMET,2020/3,1AH,Diğer Dönen Varlıklar,Other Current Assets,5491757.0
TRMET,2020/3,1AI,(Ara Toplam),(Subtotal),862410697.0
TRMET,2020/3,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0.0
TRMET,2020/3,1AK,Duran Varlıklar,LONG TERM ASSETS,221676062.0
TRMET,2020/3,1B,Ticari Alacaklar,Trade Receivables,0.0
TRMET,2020/3,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
TRMET,2020/3,1BB,Diğer Alacaklar,Other Receivables,270303.0
TRMET,2020/3,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,,0.0
TRMET,2020/3,1BC,Finansal Yatırımlar,Financial Investments,40692395.0
TRMET,2020/3,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
TRMET,2020/3,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
TRMET,2020/3,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,32363291.0
TRMET,2020/3,1BFA,Stoklar,Stoklar,0.0
TRMET,2020/3,1BFAA,Kullanım Hakkı Varlıkları,,2469650.0
TRMET,2020/3,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,97368381.0
TRMET,2020/3,1BGA,Şerefiye,Goodwill,2342171.0
TRMET,2020/3,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,194181.0
TRMET,2020/3,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,21563321.0
TRMET,2020/3,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,24412368.0
TRMET,2020/3,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,1084086758.0
TRMET,2020/3,1BM,KAYNAKLAR,LIABILITIES,0.0
TRMET,2020/3,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,75455443.0
TRMET,2020/3,2AA,Finansal Borçlar,Short-Term Financial Loans,899643.0
TRMET,2020/3,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
TRMET,2020/3,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,10954798.0
TRMET,2020/3,2AAGAB,Diğer Borçlar,Other Short-Term Loans,3684722.0
TRMET,2020/3,2AAGAC,Müşteri Söz. Doğan Yük.,,0.0
TRMET,2020/3,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
TRMET,2020/3,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
TRMET,2020/3,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),,123680.0
TRMET,2020/3,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),18101649.0
TRMET,2020/3,2AAGE,Borç Karşılıkları,Short-Term Provisions,39184380.0
TRMET,2020/3,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,2506571.0
TRMET,2020/3,2AAGG,(Ara Toplam),(Subtotal),75455443.0
TRMET,2020/3,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
TRMET,2020/3,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,31401048.0
TRMET,2020/3,2BA,Finansal Borçlar,Long-Term Financial Loans,1777710.0
TRMET,2020/3,2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
TRMET,2020/3,2BBA,Ticari Borçlar,Long-Term Trade Payables,0.0
TRMET,2020/3,2BBB,Diğer Borçlar,Other Long-Term Loans,5436603.0
TRMET,2020/3,2BBBA,Müşteri Söz.Doğan Yük.,,0.0
TRMET,2020/3,2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,0.0
TRMET,2020/3,2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,0.0
TRMET,2020/3,2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),,0.0
TRMET,2020/3,2BE,Uzun vadeli karşılıklar,Long-Term Provisions,24186736.0
TRMET,2020/3,2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,0.0
TRMET,2020/3,2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,0.0
TRMET,2020/3,2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,0.0
TRMET,2020/3,2N,Özkaynaklar,SHAREHOLDERS EQUITY,977230267.0
TRMET,2020/3,2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,459884373.0
TRMET,2020/3,2OA,Ödenmiş Sermaye,Share Capital,58965281.0
TRMET,2020/3,2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,0.0
TRMET,2020/3,2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,0.0
TRMET,2020/3,2OCB,Değer Artış Fonları,Market Value Surpluses,0.0
TRMET,2020/3,2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,0.0
TRMET,2020/3,2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,14271519.0
TRMET,2020/3,2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),364246600.0
TRMET,2020/3,2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),23389805.0
TRMET,2020/3,2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,-988832.0
TRMET,2020/3,2ODA,Azınlık Payları,Minority Interests,517345894.0
TRMET,2020/3,2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,1084086758.0
TRMET,2020/3,3B,Sürdürülen Faaliyetler,Continuing Operations,0.0
TRMET,2020/3,3C,Satış Gelirleri,Net Sales,117086084.0
TRMET,2020/3,3CA,Satışların Maliyeti (-),Cost Of Sales,-44904327.0
TRMET,2020/3,3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,0.0
TRMET,2020/3,3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,72181757.0
TRMET,2020/3,3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",0.0
TRMET,2020/3,3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",0.0
TRMET,2020/3,3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,0.0
TRMET,2020/3,3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,0.0
TRMET,2020/3,3CB,Diğer Gelir ve Giderler,Other Income (Expenses),0.0
TRMET,2020/3,3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),72181757.0
TRMET,2020/3,3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),-273276.0
TRMET,2020/3,3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),-7561137.0
TRMET,2020/3,3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),-6521836.0
TRMET,2020/3,3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,5891551.0
TRMET,2020/3,3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),-7310429.0
TRMET,2020/3,3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,0.0
TRMET,2020/3,3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,56406629.0
TRMET,2020/3,3H,Net Faaliyet Kar/Zararı,Net Operating Profits,57825508.0
TRMET,2020/3,3HA,Yatırım Faaliyetlerinden Gelirler,,28882744.0
TRMET,2020/3,3HAA,Yatırım Faaliyetlerinden Giderler (-),,-612787.0
TRMET,2020/3,3HAB,Diğer Gelir ve Giderler,,0.0
TRMET,2020/3,3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,0.0
TRMET,2020/3,3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,,84676587.0
TRMET,2020/3,3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),0.0
TRMET,2020/3,3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),0.0
TRMET,2020/3,3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,28269958.0
TRMET,2020/3,3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,84676587.0
TRMET,2020/3,3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,-23952649.0
TRMET,2020/3,3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),-22449220.0
TRMET,2020/3,3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,-1503429.0
TRMET,2020/3,3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),0.0
