symbol,period,item_code,item_name_tr,item_name_en,value
TTKOM,2020/12,1A,Dönen Varlıklar,CURRENT ASSETS,1787972742.0
TTKOM,2020/12,1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,673769559.0
TTKOM,2020/12,1AB,Finansal Yatırımlar,Short-Term Financial Investments,0.0
TTKOM,2020/12,1AC,Ticari Alacaklar,Short-Term Trade Receivables,713066853.0
TTKOM,2020/12,1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0.0
TTKOM,2020/12,1AE,Diğer Alacaklar,Short-Term Other Receivables,9202040.0
TTKOM,2020/12,1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,121438508.0
TTKOM,2020/12,1AF,Stoklar,Inventories,33496038.0
TTKOM,2020/12,1AG,Canlı Varlıklar,Short-Term Live Assets,0.0
TTKOM,2020/12,1AH,Diğer Dönen Varlıklar,Other Current Assets,231973173.0
TTKOM,2020/12,1AI,(Ara Toplam),(Subtotal),1782946170.0
TTKOM,2020/12,1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,5026572.0
TTKOM,2020/12,1AK,Duran Varlıklar,LONG TERM ASSETS,4229022428.0
TTKOM,2020/12,1B,Ticari Alacaklar,Trade Receivables,27464044.0
TTKOM,2020/12,1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0.0
TTKOM,2020/12,1BB,Diğer Alacaklar,Other Receivables,4416296.0
TTKOM,2020/12,1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,nan,10401335.0
TTKOM,2020/12,1BC,Finansal Yatırımlar,Financial Investments,2415811.0
TTKOM,2020/12,1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0.0
TTKOM,2020/12,1BE,Canlı Varlıklar,Long-Term Live Assets,0.0
TTKOM,2020/12,1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,2369529.0
TTKOM,2020/12,1BFA,Stoklar,Stoklar,0.0
TTKOM,2020/12,1BFAA,Kullanım Hakkı Varlıkları,nan,208020639.0
TTKOM,2020/12,1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,2161382943.0
TTKOM,2020/12,1BGA,Şerefiye,Goodwill,6046793.0
TTKOM,2020/12,1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,1626933819.0
TTKOM,2020/12,1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,173358941.0
TTKOM,2020/12,1BK,Diğer Duran Varlıklar,Other Long-Term Assets,6212278.0
TTKOM,2020/12,1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,6016995170.0
TTKOM,2020/12,1BM,KAYNAKLAR,LIABILITIES,0.0
TTKOM,2020/12,2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,1914280140.0
TTKOM,2020/12,2AA,Finansal Borçlar,Short-Term Financial Loans,822797907.0
TTKOM,2020/12,2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0.0
TTKOM,2020/12,2AAGAA,Ticari Borçlar,Short-Term Trade Payables,712193550.0
TTKOM,2020/12,2AAGAB,Diğer Borçlar,Other Short-Term Loans,133694351.0
TTKOM,2020/12,2AAGAC,Müşteri Söz. Doğan Yük.,nan,83864410.0
TTKOM,2020/12,2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0.0
TTKOM,2020/12,2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0.0
TTKOM,2020/12,2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),nan,0.0
TTKOM,2020/12,2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),23202336.0
TTKOM,2020/12,2AAGE,Borç Karşılıkları,Short-Term Provisions,59655845.0
TTKOM,2020/12,2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,78871742.0
TTKOM,2020/12,2AAGG,(Ara Toplam),(Subtotal),1914280140.0
TTKOM,2020/12,2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,0.0
TTKOM,2020/12,2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,2483199107.0
