date,open,high,low,close,volume,symbol
2020-01-02,3.1155627,3.1526916,3.0865066,3.1172,20884351.0,CCOLA
2020-01-03,3.0390458,3.1074913,2.970278,3.0429,23022275.0,CCOLA
2020-01-06,2.9735866,3.017092,2.9509065,2.9783,16018615.0,CCOLA
2020-01-07,3.053494,3.0784345,3.002563,3.0623,18905624.0,CCOLA
2020-01-08,3.0400953,3.068749,2.9525204,3.051,14730722.3,CCOLA
2020-01-09,3.1338851,3.1623766,3.0784345,3.1317,29942389.46,CCOLA
2020-01-10,3.2068508,3.2447054,3.1559198,3.2173,33105618.0,CCOLA
2020-01-13,3.2916002,3.322191,3.2285624,3.3077,23070857.0,CCOLA
2020-01-14,3.3223524,3.388376,3.2301774,3.3529,30286072.0,CCOLA
2020-01-15,3.337042,3.406134,3.2673051,3.3819,47925855.0,CCOLA
2020-01-16,3.477646,3.5062187,3.3932197,3.4917,47057281.0,CCOLA
2020-01-17,3.5462532,3.5756328,3.4965336,3.5563,15632453.0,CCOLA
2020-01-20,3.5385857,3.5691764,3.512676,3.5272,23998770.0,CCOLA
2020-01-21,3.5125153,3.5772474,3.4739335,3.5433,25777984.0,CCOLA
2020-01-22,3.553437,3.574019,3.5110624,3.5563,21427316.0,CCOLA
2020-01-23,3.5849962,3.617605,3.535276,3.5918,18137026.0,CCOLA
2020-01-24,3.612923,3.6482756,3.5756328,3.6208,12561639.0,CCOLA
2020-01-27,3.6160705,3.6434329,3.5869327,3.5998,10178922.0,CCOLA
2020-01-28,3.5951657,3.622447,3.5724044,3.5772,13669702.0,CCOLA
2020-01-29,3.5860457,3.632133,3.5110624,3.5966,16638909.0,CCOLA
2020-01-30,3.5970223,3.664419,3.5385048,3.6531,20642747.0,CCOLA
2020-01-31,3.6971884,3.769347,3.57079,3.7371,34412414.0,CCOLA
2020-02-03,3.73464,3.7661188,3.7031612,3.7354,10437937.0,CCOLA
2020-02-04,3.7596617,3.7935612,3.7354467,3.7484,13884535.0,CCOLA
2020-02-05,3.7266495,3.8193898,3.6821754,3.7193,33877701.0,CCOLA
2020-02-06,3.7058249,3.7596617,3.691862,3.6967,25716920.0,CCOLA
2020-02-07,3.6774142,3.7080042,3.6595757,3.6838,32112759.0,CCOLA
2020-02-10,3.629873,3.680561,3.5788617,3.6144,41947757.0,CCOLA
2020-02-11,3.655621,3.6967037,3.617605,3.6563,36541916.0,CCOLA
2020-02-12,3.7297163,3.7677326,3.6563475,3.729,61220259.0,CCOLA
2020-02-13,3.7136538,3.748361,3.6821754,3.7048,29365882.0,CCOLA
2020-02-14,3.691054,3.7338328,3.6143754,3.7048,48099068.0,CCOLA
2020-02-17,3.6785436,3.7289898,3.6563475,3.6709,20651756.0,CCOLA
2020-02-18,3.6719253,3.7080042,3.6240613,3.6886,50618434.0,CCOLA
2020-02-19,3.7718492,3.8742754,3.6934757,3.8258,46844664.0,CCOLA
2020-02-20,3.8775039,3.9662888,3.7645037,3.8533,48974457.0,CCOLA
2020-02-21,3.6690998,3.8565183,3.5901618,3.6547,52312845.0,CCOLA
2020-02-24,3.5473833,3.6563475,3.4755476,3.5643,33127423.0,CCOLA
2020-02-25,3.5709517,3.625676,3.5255904,3.5579,20272223.0,CCOLA
2020-02-26,3.5965383,3.632133,3.5385048,3.5837,38692320.0,CCOLA
2020-02-27,3.713735,3.8742754,3.6240613,3.7128,178920056.0,CCOLA
2020-02-28,3.5855613,3.6886325,2.970278,3.6402,33267620.0,CCOLA
2020-03-02,3.65441,3.7322187,3.5772474,3.6224,17831439.0,CCOLA
2020-03-03,3.6042058,3.6886325,3.5578763,3.5659,20668417.0,CCOLA
2020-03-04,3.6208332,3.664419,3.5659475,3.5982,25475600.0,CCOLA
2020-03-05,3.6726513,3.7063897,3.632133,3.6499,23746309.0,CCOLA
2020-03-09,3.2548752,3.430348,3.0509918,3.3642,26643798.0,CCOLA
2020-03-10,3.4585173,3.5449615,3.3819196,3.4142,32751759.0,CCOLA
2020-03-11,3.4135594,3.6934757,3.2705343,3.3286,27516832.0,CCOLA
2020-03-12,3.0909452,3.236634,2.9864204,3.0784,15636029.0,CCOLA
2020-03-13,3.1404228,3.2447054,2.9525204,3.1721,22493665.0,CCOLA
2020-03-16,2.8981192,3.1074913,2.8556635,2.9041,17898736.0,CCOLA
2020-03-17,2.7499282,2.944449,2.6248214,2.7443,10151949.0,CCOLA
2020-03-18,2.6817243,2.7604213,2.6554925,2.6975,18206047.0,CCOLA
2020-03-19,2.7055352,2.7604213,2.6312783,2.6959,14987218.0,CCOLA
2020-03-20,2.7512195,2.8411353,2.691007,2.7653,9163029.0,CCOLA
2020-03-23,2.7695417,2.8718069,2.6312783,2.7281,28132825.0,CCOLA
2020-03-24,2.8224092,2.881492,2.7701068,2.8331,27906239.0,CCOLA
2020-03-25,2.9153116,3.068749,2.836292,2.9864,28893493.0,CCOLA
2020-03-26,2.9516325,2.9928777,2.9008634,2.9687,18958592.0,CCOLA
2020-03-30,2.7592912,2.8007784,2.7249067,2.7685,15859421.0,CCOLA
2020-03-31,2.819988,2.8734207,2.7701068,2.825,14963261.0,CCOLA
2020-04-01,2.849287,2.9057062,2.8136923,2.8573,26044538.0,CCOLA
2020-04-02,2.8405702,2.9654346,2.8104641,2.8653,26422118.0,CCOLA
2020-04-03,2.8307226,2.8669636,2.8136923,2.825,12095498.0,CCOLA
2020-04-06,2.8983614,2.9428349,2.8605065,2.9057,16036676.0,CCOLA
2020-04-07,2.9963484,3.1478484,2.8669636,2.9218,41183918.0,CCOLA
2020-04-08,2.8843174,2.944449,2.8379061,2.8799,18266753.0,CCOLA
2020-04-09,2.8975542,2.9186206,2.8734207,2.9057,28712421.0,CCOLA
