date,open,high,low,close,volume,symbol
2020-01-02,9.13,9.24,8.97,9.16,16978072.0,GUBRF
2020-01-03,8.857,9.23,8.4,8.76,43815469.0,GUBRF
2020-01-06,8.462,8.65,8.3,8.34,19864316.0,GUBRF
2020-01-07,8.584,8.74,8.44,8.6,18483568.0,GUBRF
2020-01-08,8.481,8.6,8.17,8.4,20913475.15,GUBRF
2020-01-09,8.721,8.88,8.61,8.88,24450594.8,GUBRF
2020-01-10,8.862,8.99,8.7,8.85,22900333.0,GUBRF
2020-01-13,8.837,8.94,8.72,8.82,19531437.0,GUBRF
2020-01-14,8.686,8.85,8.61,8.63,17727474.0,GUBRF
2020-01-15,8.6,8.7,8.4,8.51,18136536.0,GUBRF
2020-01-16,8.486,8.62,8.34,8.39,25898343.0,GUBRF
2020-01-17,8.478,8.68,8.34,8.48,14144511.0,GUBRF
2020-01-20,8.574,8.67,8.46,8.59,10578242.0,GUBRF
2020-01-21,8.535,8.6,8.45,8.51,11441224.0,GUBRF
2020-01-22,8.754,9.05,8.46,9.04,35095053.0,GUBRF
2020-01-23,9.557,9.79,9.2,9.2,84132017.0,GUBRF
2020-01-24,9.187,9.33,8.99,9.26,43121260.0,GUBRF
2020-01-27,9.136,9.26,8.94,9.01,11201159.0,GUBRF
2020-01-28,9.194,9.38,8.99,9.25,27961625.0,GUBRF
2020-01-29,9.973,10.43,9.43,10.24,169531440.0,GUBRF
2020-01-30,10.499,10.85,9.94,10.29,102154411.0,GUBRF
2020-01-31,10.366,10.56,10.15,10.25,37596411.0,GUBRF
2020-02-03,10.369,10.53,10.22,10.31,21903486.0,GUBRF
2020-02-04,10.412,10.5,10.34,10.45,21855510.0,GUBRF
2020-02-05,10.622,10.75,10.47,10.65,39294908.0,GUBRF
2020-02-06,10.758,10.87,10.64,10.75,25382650.0,GUBRF
2020-02-07,11.608,11.95,10.88,11.44,193631139.0,GUBRF
2020-02-10,11.673,11.96,11.2,11.61,89013077.0,GUBRF
2020-02-11,11.921,12.37,11.55,12.3,72552841.0,GUBRF
2020-02-12,12.991,13.5,12.42,13.43,185601091.0,GUBRF
2020-02-13,14.24,14.91,13.14,14.91,208437829.0,GUBRF
2020-02-14,15.604,16.31,14.0,15.61,338048806.0,GUBRF
2020-02-17,17.358,18.38,15.71,18.08,399171773.0,GUBRF
2020-02-18,18.455,19.08,17.41,18.36,346747740.0,GUBRF
2020-02-19,18.344,19.16,17.8,17.83,188694570.0,GUBRF
2020-02-20,17.529,18.25,16.7,17.4,315550371.0,GUBRF
2020-02-21,17.728,18.5,16.75,18.3,202514497.0,GUBRF
2020-02-24,18.088,18.34,17.67,18.15,109285459.0,GUBRF
2020-02-25,18.474,18.8,18.14,18.45,136822324.0,GUBRF
2020-02-26,18.36,18.51,18.22,18.3,77217200.0,GUBRF
2020-02-27,17.774,18.2,17.2,17.2,82197620.0,GUBRF
2020-02-28,16.52,17.1,15.59,17.05,92579405.0,GUBRF
2020-03-02,18.298,18.79,17.82,18.49,124609137.0,GUBRF
2020-03-03,18.952,19.2,18.71,18.96,129679236.0,GUBRF
2020-03-04,18.843,19.25,18.38,18.55,92926944.0,GUBRF
2020-03-05,19.467,19.98,18.65,19.55,198598411.0,GUBRF
2020-03-06,19.197,19.78,18.64,18.72,120381503.0,GUBRF
2020-03-09,17.314,18.2,16.3,17.0,115811791.0,GUBRF
2020-03-10,16.95,17.95,15.5,15.54,114027610.0,GUBRF
2020-03-11,15.398,16.44,13.82,16.28,159594838.0,GUBRF
2020-03-12,15.237,16.08,14.7,14.7,103698826.0,GUBRF
2020-03-13,15.171,15.65,14.09,15.44,95238641.0,GUBRF
2020-03-16,14.349,15.11,13.9,13.96,58069709.0,GUBRF
2020-03-17,12.802,14.28,12.57,12.57,74991822.0,GUBRF
2020-03-18,12.448,12.92,11.83,12.5,75049618.0,GUBRF
2020-03-19,12.311,12.59,11.88,12.0,61255497.0,GUBRF
2020-03-20,12.648,13.2,12.21,13.2,101701472.0,GUBRF
2020-03-23,14.084,14.52,12.5,14.52,155921911.0,GUBRF
2020-03-24,15.596,15.86,15.0,15.32,169035838.0,GUBRF
2020-03-25,15.446,15.94,14.95,15.69,171444985.0,GUBRF
2020-03-26,15.348,15.7,15.16,15.31,128205195.0,GUBRF
2020-03-27,14.554,15.4,14.06,14.18,113291893.0,GUBRF
2020-03-30,14.213,14.49,13.82,14.22,50260699.0,GUBRF
2020-03-31,14.577,14.83,14.37,14.63,64369140.0,GUBRF
2020-04-01,14.276,14.52,13.79,14.11,38840953.0,GUBRF
2020-04-02,14.77,15.15,14.45,14.66,100903777.0,GUBRF
2020-04-03,14.369,14.77,14.17,14.21,27360348.0,GUBRF
2020-04-06,14.474,14.68,14.34,14.45,47575115.0,GUBRF
2020-04-07,14.651,14.94,14.11,14.28,75655701.0,GUBRF
2020-04-08,14.144,14.35,13.87,14.1,44220722.0,GUBRF
