date,open,high,low,close,volume,symbol
2020-01-02,8.549,9.13,7.75,8.73,992645193.0,IPEKE
2020-01-03,8.863,9.23,8.53,8.89,717390357.0,IPEKE
2020-01-06,9.2,9.39,8.97,9.17,546038051.0,IPEKE
2020-01-07,9.198,9.35,9.0,9.15,328688604.0,IPEKE
2020-01-08,9.089,9.23,8.84,8.85,269965235.77,IPEKE
2020-01-09,9.139,9.39,8.88,8.97,548491164.81,IPEKE
2020-01-10,8.807,9.01,8.59,8.63,221279906.0,IPEKE
2020-01-13,8.9,9.07,8.62,8.86,309409012.0,IPEKE
2020-01-14,8.912,9.06,8.82,8.85,176501752.0,IPEKE
2020-01-15,8.837,8.94,8.73,8.77,117808433.0,IPEKE
2020-01-16,8.791,8.89,8.65,8.69,97129852.0,IPEKE
2020-01-17,8.636,8.77,8.52,8.76,104926069.0,IPEKE
2020-01-20,8.911,8.99,8.8,8.9,169619330.0,IPEKE
2020-01-21,8.846,8.92,8.8,8.81,99084257.0,IPEKE
2020-01-22,9.63,10.24,8.81,10.04,1115911768.0,IPEKE
2020-01-23,9.822,10.21,9.61,9.62,387843621.0,IPEKE
2020-01-24,9.845,10.14,9.62,9.62,417452705.0,IPEKE
2020-01-27,9.801,9.95,9.64,9.72,204145132.0,IPEKE
2020-01-28,9.832,10.02,9.7,9.79,284509481.0,IPEKE
2020-01-29,9.85,9.96,9.76,9.76,216281066.0,IPEKE
2020-01-30,10.061,10.41,9.79,9.89,656526691.0,IPEKE
2020-01-31,9.935,10.03,9.85,9.9,170985467.0,IPEKE
2020-02-03,10.104,10.28,9.86,10.15,400832220.0,IPEKE
2020-02-04,10.191,10.33,10.1,10.15,183771046.0,IPEKE
2020-02-05,10.236,10.36,10.07,10.1,261617637.0,IPEKE
2020-02-06,10.081,10.24,9.9,9.97,126906902.0,IPEKE
2020-02-07,10.076,10.22,9.91,9.95,190897080.0,IPEKE
2020-02-10,9.782,10.05,9.37,9.61,152977318.0,IPEKE
2020-02-11,9.676,9.82,9.5,9.8,111395750.0,IPEKE
2020-02-12,9.792,9.92,9.64,9.77,119897845.0,IPEKE
2020-02-13,9.944,10.12,9.78,9.94,178340425.0,IPEKE
2020-02-14,9.941,10.06,9.85,9.85,111058214.0,IPEKE
2020-02-17,9.924,10.08,9.75,9.8,270665456.0,IPEKE
2020-02-18,9.74,9.88,9.55,9.62,99557186.0,IPEKE
2020-02-19,9.781,9.95,9.63,9.73,236588048.0,IPEKE
2020-02-20,9.469,9.79,9.08,9.21,153966836.0,IPEKE
2020-02-21,9.771,10.09,9.05,9.75,720112675.0,IPEKE
2020-02-24,10.395,10.93,9.75,10.4,1075852868.0,IPEKE
2020-02-25,10.452,10.64,10.23,10.26,341274407.0,IPEKE
2020-02-26,10.542,10.81,10.2,10.48,350701081.0,IPEKE
2020-02-27,10.175,10.75,9.74,9.75,303252085.0,IPEKE
2020-02-28,9.55,10.09,8.11,9.32,166501098.0,IPEKE
2020-03-02,9.565,9.86,9.34,9.37,144847448.0,IPEKE
