date,open,high,low,close,volume,symbol
2020-01-02,1.797,1.85,1.74,1.8,317482510.0,ISGYO
2020-01-03,1.762,1.79,1.71,1.76,305349068.0,ISGYO
2020-01-06,1.786,1.83,1.73,1.76,387620844.0,ISGYO
2020-01-07,1.798,1.83,1.77,1.77,139047875.0,ISGYO
2020-01-08,1.745,1.78,1.7,1.75,185380591.51,ISGYO
2020-01-09,1.851,1.89,1.81,1.87,509382618.61,ISGYO
2020-01-10,1.844,1.88,1.82,1.82,186514156.0,ISGYO
2020-01-13,1.849,1.87,1.83,1.83,281629063.0,ISGYO
2020-01-14,1.825,1.85,1.8,1.81,114766474.0,ISGYO
2020-01-15,1.789,1.82,1.75,1.79,186537216.0,ISGYO
2020-01-16,1.83,1.88,1.77,1.78,373821852.0,ISGYO
2020-01-17,1.837,1.86,1.79,1.86,381081764.0,ISGYO
2020-01-20,1.893,1.92,1.87,1.88,341321862.0,ISGYO
2020-01-21,1.868,1.89,1.84,1.86,241098885.0,ISGYO
2020-01-22,1.85,1.87,1.82,1.83,138155455.0,ISGYO
2020-01-23,1.837,1.85,1.82,1.82,113465847.0,ISGYO
2020-01-24,1.829,1.85,1.81,1.82,87843792.0,ISGYO
2020-01-27,1.809,1.83,1.79,1.8,73971467.0,ISGYO
2020-01-28,1.837,1.88,1.77,1.85,472080849.0,ISGYO
2020-01-29,1.876,1.91,1.84,1.84,385312920.0,ISGYO
2020-01-30,1.836,1.86,1.82,1.83,145826542.0,ISGYO
2020-01-31,1.879,1.93,1.82,1.88,316666150.0,ISGYO
2020-02-03,1.871,1.9,1.84,1.86,172592550.0,ISGYO
2020-02-04,1.9,1.93,1.87,1.93,303122501.0,ISGYO
2020-02-05,1.928,1.94,1.91,1.94,177689485.0,ISGYO
2020-02-06,1.947,1.97,1.92,1.93,89975504.0,ISGYO
2020-02-07,1.921,1.95,1.9,1.9,80894800.0,ISGYO
2020-02-10,1.877,1.92,1.79,1.85,92261879.0,ISGYO
2020-02-11,1.876,1.91,1.84,1.91,102137538.0,ISGYO
2020-02-12,1.923,1.95,1.89,1.91,96802598.0,ISGYO
2020-02-13,2.0,2.08,1.9,2.07,398689024.0,ISGYO
2020-02-14,2.219,2.35,2.07,2.15,708599609.0,ISGYO
2020-02-17,2.076,2.2,1.98,1.99,250843101.0,ISGYO
2020-02-18,2.008,2.1,1.92,1.95,420161037.0,ISGYO
2020-02-19,1.993,2.06,1.94,1.95,304928227.0,ISGYO
2020-02-20,1.9,2.0,1.8,1.8,208451955.0,ISGYO
2020-02-21,1.82,1.87,1.76,1.85,155795433.0,ISGYO
2020-02-24,1.818,1.85,1.78,1.83,82641307.0,ISGYO
2020-02-25,1.849,1.88,1.81,1.83,119212346.0,ISGYO
2020-02-26,1.839,1.88,1.8,1.83,112589042.0,ISGYO
2020-02-27,1.8,1.85,1.71,1.71,123191571.0,ISGYO
2020-02-28,1.603,1.7,1.42,1.63,97223748.0,ISGYO
2020-03-02,1.694,1.73,1.65,1.7,35144251.0,ISGYO
2020-03-03,1.758,1.78,1.73,1.77,50407657.0,ISGYO
2020-03-04,1.789,1.84,1.74,1.75,105611261.0,ISGYO
2020-03-05,1.791,1.82,1.75,1.77,70438946.0,ISGYO
2020-03-06,1.706,1.79,1.62,1.69,77855751.0,ISGYO
2020-03-09,1.578,1.66,1.47,1.55,44647443.0,ISGYO
2020-03-10,1.56,1.64,1.46,1.47,68764025.0,ISGYO
2020-03-11,1.443,1.54,1.36,1.48,59148275.0,ISGYO
2020-03-12,1.349,1.42,1.26,1.28,30438817.0,ISGYO
2020-03-13,1.318,1.39,1.22,1.37,38268004.0,ISGYO
2020-03-16,1.282,1.34,1.24,1.26,28418268.0,ISGYO
2020-03-17,1.21,1.28,1.14,1.25,62932266.0,ISGYO
2020-03-18,1.265,1.31,1.18,1.25,62018659.0,ISGYO
2020-03-19,1.295,1.35,1.22,1.31,141133901.0,ISGYO
2020-03-20,1.331,1.37,1.29,1.29,96593502.0,ISGYO
2020-03-23,1.197,1.25,1.17,1.17,69067914.0,ISGYO
