index,publishDate,ruleType,summary,url
886436,05.11.2020 18:56:21,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886436
868468,12.08.2020 21:05:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868468
843158,06.05.2020 19:29:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/843158
822265,27.02.2020 20:52:38,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822265
974935,04.11.2021 18:52:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974935
957808,12.08.2021 21:05:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957808
934813,05.05.2021 22:31:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934813
913168,25.02.2021 23:48:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/913168
1076969,04.11.2022 18:38:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076969
1076388,02.11.2022 19:13:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076388
1054378,10.08.2022 20:32:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054378
1028045,09.05.2022 19:22:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028045
1003922,23.02.2022 21:51:41,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1003922
1213300,01.11.2023 19:18:39,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1213300
1182359,08.08.2023 18:45:30,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182359
1146553,03.05.2023 20:00:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1146553
1117868,28.02.2023 19:11:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117868
1353869,05.11.2024 20:09:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353869
1326514,20.08.2024 20:15:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326514
1290383,23.05.2024 18:54:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1290383
1261306,21.03.2024 23:35:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1261306
1511858,05.11.2025 19:42:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511858
1477177,12.08.2025 23:43:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477177
1435136,07.05.2025 21:23:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435136
1401085,05.03.2025 20:41:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401085
