index,publishDate,ruleType,summary,url
884402,27.10.2020 18:12:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884402
884401,27.10.2020 18:11:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/884401
862767,28.07.2020 18:11:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/862767
862764,28.07.2020 18:11:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/862764
840901,28.04.2020 18:10:56,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/840901
840899,28.04.2020 18:10:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/840899
816358,31.01.2020 18:13:13,Yıllık,,https://www.kap.org.tr/tr/Bildirim/816358
816357,31.01.2020 18:12:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/816357
972530,26.10.2021 18:10:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972530
972528,26.10.2021 18:10:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/972528
952364,28.07.2021 18:10:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/952364
952361,28.07.2021 18:10:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/952361
931903,28.04.2021 18:10:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931903
931897,28.04.2021 18:10:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931897
907036,02.02.2021 18:11:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/907036
907035,02.02.2021 18:10:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/907035
1074407,26.10.2022 18:11:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074407
1074401,26.10.2022 18:11:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074401
1048278,27.07.2022 18:10:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1048278
1048277,27.07.2022 18:10:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1048277
1024365,27.04.2022 18:10:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024365
1024363,27.04.2022 18:10:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024363
998625,01.02.2022 18:10:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/998625
998624,01.02.2022 18:10:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/998624
1210588,26.10.2023 18:15:24,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210588
1210587,26.10.2023 18:15:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210587
1175516,26.07.2023 18:15:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1175516
1175513,26.07.2023 18:15:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1175513
1141352,26.04.2023 18:17:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1141352
1141351,26.04.2023 18:17:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1141351
1107380,31.01.2023 18:16:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1107380
1107379,31.01.2023 18:16:09,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1107379
1350569,24.10.2024 18:16:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350569
1350568,24.10.2024 18:15:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350568
1316532,29.07.2024 18:15:26,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1316532
1316531,29.07.2024 18:15:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1316531
1279561,30.04.2024 18:15:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1279561
1279558,30.04.2024 18:15:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1279558
1246216,01.02.2024 18:16:07,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1246216
1246214,01.02.2024 18:15:52,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1246214
1507402,23.10.2025 18:15:23,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1507402
1507401,23.10.2025 18:15:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1507401
1467850,29.07.2025 18:15:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1467850
1467846,29.07.2025 18:15:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1467846
1429678,25.04.2025 18:15:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1429678
1429676,25.04.2025 18:15:10,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1429676
1386666,30.01.2025 18:15:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1386666
1386664,30.01.2025 18:15:07,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1386664
