index,publishDate,ruleType,summary,url
885906,03.11.2020 18:16:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885906
867604,10.08.2020 19:38:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867604
842800,05.05.2020 18:38:44,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/842800
820652,20.02.2020 22:17:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/820652
973252,28.10.2021 22:20:03,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973252
955613,06.08.2021 18:42:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/955613
934506,04.05.2021 19:22:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934506
911194,19.02.2021 20:17:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911194
1074741,27.10.2022 18:14:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074741
1049554,29.07.2022 19:24:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1049554
1024522,27.04.2022 20:28:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024522
1002931,18.02.2022 19:34:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002931
1209151,24.10.2023 18:47:40,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1209151
1181693,07.08.2023 18:48:58,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181693
1143271,28.04.2023 18:25:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1143271
1114951,17.02.2023 19:02:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1114951
1352015,30.10.2024 21:06:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1352015
1351748,30.10.2024 18:25:53,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351748
1325749,16.08.2024 18:18:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1325749
1293312,31.05.2024 18:36:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1293312
1252073,26.02.2024 19:17:28,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1252073
1509430,30.10.2025 19:06:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509430
1473398,06.08.2025 22:18:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1473398
1431226,29.04.2025 20:26:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431226
1393059,14.02.2025 19:25:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393059
