index,publishDate,ruleType,summary,url
886828,06.11.2020 18:24:28,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886828
869165,14.08.2020 18:47:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869165
849628,05.06.2020 18:33:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/849628
823057,28.02.2020 20:34:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823057
974854,04.11.2021 18:16:52,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974854
958086,13.08.2021 18:38:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958086
935928,10.05.2021 18:17:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935928
915698,05.03.2021 21:37:56,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915698
1076337,02.11.2022 18:15:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076337
1054789,11.08.2022 18:45:49,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054789
1027981,09.05.2022 18:36:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027981
1007991,07.03.2022 21:33:52,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1007991
1214581,06.11.2023 18:16:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214581
1185690,15.08.2023 18:16:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185690
1149929,10.05.2023 18:44:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149929
1120694,06.03.2023 21:26:46,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120694
1355777,08.11.2024 18:10:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355777
1335666,18.09.2024 21:58:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1335666
1296393,07.06.2024 18:16:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1296393
1259388,15.03.2024 23:47:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1259388
1512401,06.11.2025 18:21:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512401
1477898,13.08.2025 20:15:24,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1477898
1435082,07.05.2025 19:19:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1435082
1401767,06.03.2025 19:49:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401767
