index,publishDate,ruleType,summary,url
1082980,29.11.2022 19:30:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1082980
1216041,08.11.2023 19:10:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216041
1180932,04.08.2023 18:11:37,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1180932
1178270,31.07.2023 21:17:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1178270
1145337,02.05.2023 19:43:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1145337
1117227,27.02.2023 18:16:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117227
1356515,11.11.2024 18:19:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356515
1337431,24.09.2024 19:02:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337431
1299790,14.06.2024 19:29:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299790
1286722,15.05.2024 18:56:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1286722
1514818,10.11.2025 19:19:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514818
1480706,19.08.2025 18:16:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480706
1437827,12.05.2025 18:56:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437827
1405002,11.03.2025 21:56:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1405002
