index,publishDate,ruleType,summary,url
885156,30.10.2020 18:53:14,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885156
867538,10.08.2020 18:51:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867538
847547,28.05.2020 23:29:59,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847547
823072,28.02.2020 21:03:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823072
973309,01.11.2021 01:37:32,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973309
954204,02.08.2021 18:11:59,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/954204
934226,03.05.2021 18:18:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934226
907335,03.02.2021 21:09:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/907335
1078919,09.11.2022 19:03:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078919
1056547,17.08.2022 23:40:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056547
1028935,10.05.2022 21:36:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028935
1009633,11.03.2022 18:22:34,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009633
1216484,09.11.2023 18:27:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216484
1186828,17.08.2023 22:47:44,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186828
1150242,10.05.2023 22:51:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150242
1123053,10.03.2023 20:15:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123053
1357004,11.11.2024 23:03:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357004
1331677,06.09.2024 19:50:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1331677
1301406,24.06.2024 22:45:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1301406
1300916,21.06.2024 23:28:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300916
1282335,07.05.2024 07:21:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1282335
1515116,10.11.2025 22:55:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515116
1479531,15.08.2025 23:13:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479531
1438074,12.05.2025 20:56:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438074
1402829,09.03.2025 22:57:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1402829
