index,publishDate,ruleType,summary,url
1211865,30.10.2023 18:44:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211865
1186658,17.08.2023 18:49:44,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186658
1183253,09.08.2023 22:23:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183253
1145658,02.05.2023 23:37:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1145658
1145555,02.05.2023 22:37:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1145555
1118826,01.03.2023 22:17:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118826
1351854,30.10.2024 18:47:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351854
1327939,26.08.2024 18:27:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327939
1289967,23.05.2024 01:47:10,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1289967
1252102,27.02.2024 06:22:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1252102
1515146,10.11.2025 23:42:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515146
1480094,18.08.2025 18:55:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480094
1432433,30.04.2025 21:14:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432433
1398789,03.03.2025 18:16:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1398789
