index,publishDate,ruleType,summary,url
976623,09.11.2021 20:50:10,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976623
958719,17.08.2021 18:17:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958719
938784,28.05.2021 18:43:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/938784
1078353,08.11.2022 19:31:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078353
1056911,18.08.2022 20:03:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056911
1028049,09.05.2022 19:32:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028049
1000752,09.02.2022 20:16:38,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000752
1216026,08.11.2023 18:54:55,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216026
1187862,21.08.2023 18:52:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187862
1149868,10.05.2023 18:30:26,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149868
1124120,13.03.2023 22:43:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124120
1356831,11.11.2024 20:00:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356831
1337800,25.09.2024 19:27:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337800
1300910,21.06.2024 23:18:44,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300910
1287778,17.05.2024 19:53:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287778
1513423,07.11.2025 18:55:00,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513423
1479536,15.08.2025 23:29:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479536
1436865,09.05.2025 19:16:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436865
1403855,10.03.2025 22:04:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403855
