index,publishDate,ruleType,summary,url
886879,06.11.2020 18:51:00,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886879
886878,06.11.2020 18:50:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886878
869727,18.08.2020 18:13:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869727
869725,18.08.2020 18:12:55,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869725
847880,29.05.2020 21:10:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847880
847879,29.05.2020 21:10:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847879
825890,09.03.2020 23:17:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/825890
825889,09.03.2020 23:17:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/825889
975984,08.11.2021 18:49:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975984
975982,08.11.2021 18:49:36,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975982
959046,18.08.2021 18:13:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959046
959043,18.08.2021 18:13:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959043
936094,11.05.2021 00:31:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936094
936093,11.05.2021 00:31:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936093
915730,06.03.2021 01:31:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915730
915729,06.03.2021 01:29:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/915729
1077671,07.11.2022 19:29:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077671
1077670,07.11.2022 19:29:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1077670
1056524,17.08.2022 21:36:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056524
1056523,17.08.2022 21:36:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056523
1027878,09.05.2022 18:11:05,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027878
1027876,09.05.2022 18:10:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027876
1008914,09.03.2022 22:50:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008914
1008913,09.03.2022 22:50:21,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1008913
1215965,08.11.2023 18:23:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215965
1215962,08.11.2023 18:23:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1215962
1186238,16.08.2023 21:52:42,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186238
1186237,16.08.2023 21:52:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186237
1149198,09.05.2023 19:28:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149198
1149197,09.05.2023 19:27:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149197
1121279,07.03.2023 19:48:08,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121279
1121278,07.03.2023 19:47:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1121278
1356894,11.11.2024 21:06:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356894
1356893,11.11.2024 21:06:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356893
1329456,02.09.2024 20:41:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1329456
1329455,02.09.2024 20:41:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1329455
1299748,14.06.2024 19:00:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299748
1299747,14.06.2024 19:00:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299747
1274005,17.04.2024 18:33:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1274005
1274004,17.04.2024 18:33:05,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1274004
1513512,07.11.2025 20:01:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513512
1513511,07.11.2025 20:01:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513511
1480229,18.08.2025 20:10:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480229
1480228,18.08.2025 20:10:34,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480228
1437005,09.05.2025 22:44:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437005
1437004,09.05.2025 22:44:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437004
1402779,07.03.2025 23:58:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1402779
1402778,07.03.2025 23:57:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1402778
