index,publishDate,ruleType,summary,url
1216680,09.11.2023 20:08:26,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216680
1186864,18.08.2023 01:12:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186864
1152910,22.05.2023 19:51:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1152910
1356798,11.11.2024 19:44:05,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356798
1334201,13.09.2024 20:00:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1334201
1289954,22.05.2024 22:45:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1289954
1280784,02.05.2024 19:36:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1280784
1514652,10.11.2025 18:35:05,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514652
1479991,18.08.2025 18:18:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479991
1438053,12.05.2025 20:39:46,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438053
1410019,21.03.2025 20:34:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1410019
