index,publishDate,ruleType,summary,url
886827,06.11.2020 18:24:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/886827
865084,04.08.2020 19:17:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/865084
850410,09.06.2020 23:32:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850410
819781,17.02.2020 23:11:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819781
974849,04.11.2021 18:15:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974849
959573,19.08.2021 23:23:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959573
934233,03.05.2021 18:19:48,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934233
910579,17.02.2021 19:08:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910579
1078298,08.11.2022 19:00:16,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078298
1055641,15.08.2022 19:45:35,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055641
1028547,10.05.2022 18:14:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028547
1002478,17.02.2022 18:16:09,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002478
1211738,30.10.2023 18:17:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211738
1184644,11.08.2023 18:21:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184644
1150172,10.05.2023 21:14:51,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150172
1123799,13.03.2023 19:26:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1123799
1354622,06.11.2024 21:49:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1354622
1329440,02.09.2024 19:32:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1329440
1300374,20.06.2024 21:23:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300374
1281214,03.05.2024 18:36:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1281214
1514689,10.11.2025 18:38:57,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514689
1480062,18.08.2025 18:39:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480062
1437969,12.05.2025 19:44:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437969
1401758,06.03.2025 19:44:03,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1401758
