index,publishDate,ruleType,summary,url
887399,09.11.2020 18:41:15,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887399
870152,19.08.2020 19:52:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870152
850177,09.06.2020 18:11:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850177
826647,10.03.2020 21:32:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826647
976589,09.11.2021 19:41:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976589
959308,19.08.2021 18:10:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959308
941481,09.06.2021 18:17:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941481
917715,11.03.2021 23:16:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917715
1078666,09.11.2022 18:11:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078666
1057292,19.08.2022 19:11:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057292
1028502,10.05.2022 18:11:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028502
1010071,11.03.2022 23:12:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1010071
1216668,09.11.2023 19:38:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216668
1187821,21.08.2023 18:43:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187821
1149749,10.05.2023 18:11:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149749
1124064,13.03.2023 22:10:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1124064
1356503,11.11.2024 18:18:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356503
1334621,16.09.2024 20:03:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1334621
1299904,14.06.2024 22:36:52,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1299904
1281356,03.05.2024 21:39:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1281356
1514851,10.11.2025 19:38:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514851
1480149,18.08.2025 19:22:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480149
1437754,12.05.2025 18:38:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437754
1404649,11.03.2025 19:09:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404649
