index,publishDate,ruleType,summary,url
888264,12.11.2020 18:16:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/888264
888263,12.11.2020 18:16:11,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/888263
869142,14.08.2020 18:25:09,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869142
869134,14.08.2020 18:22:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869134
845067,14.05.2020 18:28:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845067
845065,14.05.2020 18:28:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845065
819195,14.02.2020 18:15:09,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819195
819192,14.02.2020 18:14:51,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819192
977107,11.11.2021 18:15:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/977107
977106,11.11.2021 18:14:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/977106
957709,12.08.2021 18:16:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957709
957707,12.08.2021 18:15:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957707
935338,07.05.2021 18:15:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935338
935337,07.05.2021 18:14:50,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935337
909719,15.02.2021 18:28:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909719
909718,15.02.2021 18:28:29,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909718
1079586,11.11.2022 18:15:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079586
1079584,11.11.2022 18:15:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079584
1055141,12.08.2022 18:14:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055141
1055140,12.08.2022 18:14:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055140
1029994,12.05.2022 18:15:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1029994
1029993,12.05.2022 18:15:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1029993
1001618,14.02.2022 18:16:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001618
1001617,14.02.2022 18:15:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001617
1216400,09.11.2023 18:16:41,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216400
1216396,09.11.2023 18:16:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216396
1183953,10.08.2023 18:15:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183953
1183950,10.08.2023 18:15:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183950
1149854,10.05.2023 18:27:43,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149854
1149852,10.05.2023 18:27:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149852
1114886,17.02.2023 18:16:07,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1114886
1114885,17.02.2023 18:15:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1114885
1357706,13.11.2024 18:18:14,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357706
1357704,13.11.2024 18:18:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357704
1324102,12.08.2024 18:21:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1324102
1324098,12.08.2024 18:19:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1324098
1285078,10.05.2024 18:17:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285078
1285076,10.05.2024 18:17:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285076
1249603,14.02.2024 18:29:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1249603
1249598,14.02.2024 18:25:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1249598
1513443,07.11.2025 19:01:52,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513443
1513438,07.11.2025 18:59:29,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513438
1475175,08.08.2025 18:38:16,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1475175
1475174,08.08.2025 18:38:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1475174
1436732,09.05.2025 18:22:41,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436732
1436731,09.05.2025 18:22:21,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1436731
1395813,25.02.2025 19:01:37,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1395813
1395808,25.02.2025 18:57:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1395808
