index,publishDate,ruleType,summary,url
887537,09.11.2020 19:48:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887537
867663,10.08.2020 20:12:31,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867663
845089,14.05.2020 18:51:14,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/845089
819274,14.02.2020 20:19:38,Yıllık,,https://www.kap.org.tr/tr/Bildirim/819274
976613,09.11.2021 20:13:01,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976613
956413,09.08.2021 19:50:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956413
935415,07.05.2021 18:48:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935415
909778,15.02.2021 20:11:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909778
1079668,12.11.2022 00:30:49,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079668
1079667,12.11.2022 00:30:04,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1079667
1055259,12.08.2022 20:28:17,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055259
1055258,12.08.2022 20:27:48,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055258
1030061,13.05.2022 02:36:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1030061
1030060,13.05.2022 02:35:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1030060
1001692,14.02.2022 19:42:33,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001692
1216573,09.11.2023 18:48:58,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216573
1216568,09.11.2023 18:48:09,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216568
1184175,10.08.2023 23:40:46,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184175
1184174,10.08.2023 23:40:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1184174
1150297,11.05.2023 05:40:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150297
1150296,11.05.2023 05:39:42,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150296
1115030,18.02.2023 07:16:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115030
1115029,18.02.2023 07:15:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1115029
1357022,11.11.2024 23:21:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357022
1357021,11.11.2024 23:21:07,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357021
1333251,11.09.2024 22:57:45,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1333251
1333250,11.09.2024 22:57:28,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1333250
1304252,02.07.2024 02:30:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1304252
1304251,02.07.2024 02:30:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1304251
1287788,17.05.2024 20:27:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287788
1287787,17.05.2024 20:27:11,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287787
1515056,10.11.2025 21:45:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515056
1515054,10.11.2025 21:45:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1515054
1481134,20.08.2025 01:49:14,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481134
1481133,20.08.2025 01:48:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1481133
1438222,12.05.2025 23:41:35,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438222
1438221,12.05.2025 23:41:08,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1438221
1397842,01.03.2025 01:32:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397842
1397841,01.03.2025 01:31:45,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397841
