index,publishDate,ruleType,summary,url
887486,09.11.2020 19:14:06,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887486
869760,18.08.2020 18:39:29,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/869760
850020,08.06.2020 20:00:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850020
821003,21.02.2020 18:31:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/821003
976006,08.11.2021 19:11:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976006
975337,05.11.2021 19:03:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/975337
959083,18.08.2021 18:24:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959083
936251,11.05.2021 18:26:11,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936251
911992,23.02.2021 19:17:43,Yıllık,,https://www.kap.org.tr/tr/Bildirim/911992
1078144,08.11.2022 18:17:31,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078144
1056044,16.08.2022 18:44:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056044
1028696,10.05.2022 18:39:19,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028696
1006621,02.03.2022 19:39:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006621
1214692,06.11.2023 20:10:56,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214692
1186081,16.08.2023 18:13:33,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1186081
1149959,10.05.2023 18:49:31,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149959
1118697,01.03.2023 20:35:58,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118697
1355989,08.11.2024 19:13:38,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1355989
1339156,30.09.2024 19:46:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339156
1312347,12.07.2024 18:16:12,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1312347
1294593,04.06.2024 20:23:26,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1294593
1511883,05.11.2025 20:05:34,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1511883
1479409,15.08.2025 19:29:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1479409
1437821,12.05.2025 18:54:55,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437821
1400252,04.03.2025 18:19:25,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1400252
