index,publishDate,ruleType,summary,url
973571,01.11.2021 18:15:47,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973571
1075360,31.10.2022 18:11:02,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075360
1053636,09.08.2022 18:31:43,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053636
1026878,05.05.2022 18:57:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1026878
1004859,25.02.2022 20:33:06,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1004859
1211950,30.10.2023 19:24:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211950
1182406,08.08.2023 19:06:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1182406
1145308,02.05.2023 19:35:49,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1145308
1117779,28.02.2023 18:38:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1117779
1351642,30.10.2024 18:13:52,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1351642
1336593,20.09.2024 19:12:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336593
1298069,11.06.2024 19:14:57,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1298069
1284587,09.05.2024 22:44:44,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284587
1509412,30.10.2025 18:53:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509412
1476219,11.08.2025 19:31:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1476219
1432323,30.04.2025 19:46:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432323
1399197,03.03.2025 20:04:31,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1399197
