index,publishDate,ruleType,summary,url
1076036,01.11.2022 18:56:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076036
1051682,04.08.2022 08:03:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1051682
1027605,09.05.2022 07:43:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027605
1214632,06.11.2023 18:47:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214632
1181211,07.08.2023 07:53:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1181211
1147788,08.05.2023 08:05:20,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1147788
1120281,06.03.2023 06:56:02,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120281
1356446,11.11.2024 18:14:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356446
1337119,24.09.2024 08:09:36,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1337119
1300403,21.06.2024 07:33:13,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300403
1278985,29.04.2024 19:52:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1278985
1514441,10.11.2025 18:17:49,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514441
1478903,15.08.2025 08:20:02,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1478903
1437593,12.05.2025 18:16:46,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437593
1404776,11.03.2025 20:14:24,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404776
