index,publishDate,ruleType,summary,url
887505,09.11.2020 19:25:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887505
866240,06.08.2020 21:57:22,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/866240
847533,28.05.2020 22:50:37,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/847533
822216,27.02.2020 19:45:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/822216
973581,01.11.2021 18:16:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973581
956186,09.08.2021 18:16:58,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956186
932531,29.04.2021 18:16:34,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/932531
914154,01.03.2021 18:56:53,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914154
1075450,31.10.2022 18:16:37,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075450
1054852,11.08.2022 20:50:19,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1054852
1053905,09.08.2022 22:33:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053905
1053828,09.08.2022 20:16:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053828
1025836,29.04.2022 18:23:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1025836
1005932,01.03.2022 18:17:49,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1005932
1211676,30.10.2023 18:13:08,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211676
1183088,09.08.2023 19:19:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183088
1144934,02.05.2023 18:15:55,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1144934
1118803,01.03.2023 21:51:30,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1118803
1359682,21.11.2024 18:17:43,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1359682
1339304,30.09.2024 22:48:25,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339304
1313208,17.07.2024 18:11:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1313208
1290943,24.05.2024 22:24:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1290943
1480002,18.08.2025 18:21:23,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480002
1445357,03.06.2025 18:11:09,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1445357
1411605,25.03.2025 18:53:42,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1411605
