index,publishDate,ruleType,summary,url
982983,13.12.2021 19:21:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/982983
1073719,24.10.2022 19:25:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1073719
1053092,08.08.2022 18:30:10,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053092
1052026,04.08.2022 18:41:12,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1052026
1024439,27.04.2022 18:30:39,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024439
1000509,08.02.2022 19:24:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1000509
1214621,06.11.2023 18:38:13,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1214621
1176965,31.07.2023 08:34:57,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1176965
1140578,24.04.2023 19:43:03,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1140578
1103944,23.01.2023 19:02:23,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1103944
1353908,06.11.2024 08:22:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353908
1327563,26.08.2024 07:55:06,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1327563
1294431,04.06.2024 18:10:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1294431
1258933,14.03.2024 21:15:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1258933
1513584,07.11.2025 22:52:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1513584
1480865,19.08.2025 18:49:40,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480865
1437952,12.05.2025 19:38:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437952
1397871,03.03.2025 08:16:01,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1397871
