index,publishDate,ruleType,summary,url
887347,09.11.2020 18:23:44,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/887347
870092,19.08.2020 19:03:38,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/870092
850316,09.06.2020 18:39:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/850316
826722,10.03.2020 23:19:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/826722
976620,09.11.2021 20:48:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976620
959139,18.08.2021 19:56:20,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/959139
941547,09.06.2021 19:49:30,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/941547
917631,11.03.2021 21:45:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/917631
1078348,08.11.2022 19:30:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078348
1056509,17.08.2022 21:33:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1056509
1028842,10.05.2022 19:37:28,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028842
1009890,11.03.2022 20:29:05,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009890
1216051,08.11.2023 19:30:25,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216051
1185815,15.08.2023 22:34:18,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185815
1185431,14.08.2023 22:21:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1185431
1150215,10.05.2023 22:02:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1150215
1120015,03.03.2023 19:10:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120015
1356899,11.11.2024 21:18:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356899
1326206,19.08.2024 22:55:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1326206
1285231,10.05.2024 20:16:25,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1285231
1257751,11.03.2024 22:50:12,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1257751
1509507,30.10.2025 20:01:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1509507
1480247,18.08.2025 20:31:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480247
1437938,12.05.2025 19:36:01,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437938
1403864,10.03.2025 22:30:14,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1403864
