index,publishDate,ruleType,summary,url
976098,08.11.2021 22:05:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/976098
958382,16.08.2021 18:25:27,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/958382
936610,17.05.2021 18:16:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936610
936024,10.05.2021 19:41:44,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/936024
1078987,09.11.2022 20:16:12,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1078987
1057269,19.08.2022 18:38:29,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1057269
1028711,10.05.2022 18:41:15,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1028711
1009865,11.03.2022 20:03:08,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1009865
1216549,09.11.2023 18:43:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1216549
1187816,21.08.2023 18:41:50,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1187816
1149972,10.05.2023 18:53:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1149972
1120265,04.03.2023 22:50:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1120265
1356662,11.11.2024 18:38:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1356662
1339082,30.09.2024 18:56:58,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1339082
1300791,21.06.2024 19:48:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1300791
1287698,17.05.2024 18:42:36,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1287698
1514795,10.11.2025 19:10:20,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1514795
1480835,19.08.2025 18:37:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480835
1437953,12.05.2025 19:38:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1437953
1404689,11.03.2025 19:41:46,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1404689
