index,publishDate,ruleType,summary,url
883107,22.10.2020 18:15:54,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/883107
861709,24.07.2020 18:11:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/861709
839891,22.04.2020 18:12:02,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/839891
817710,07.02.2020 18:16:39,Yıllık,,https://www.kap.org.tr/tr/Bildirim/817710
971747,21.10.2021 18:22:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/971747
952114,27.07.2021 21:14:08,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/952114
931404,27.04.2021 18:22:27,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/931404
910159,16.02.2021 18:46:55,Yıllık,,https://www.kap.org.tr/tr/Bildirim/910159
1074450,26.10.2022 18:21:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1074450
1048338,27.07.2022 19:15:00,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1048338
1024021,26.04.2022 18:20:24,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1024021
1001958,15.02.2022 20:08:50,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1001958
1209101,24.10.2023 18:18:46,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1209101
1175517,26.07.2023 18:15:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1175517
1140924,25.04.2023 18:19:58,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1140924
1113258,14.02.2023 20:59:18,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1113258
1350297,23.10.2024 18:17:32,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1350297
1314477,22.07.2024 19:12:55,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1314477
1277101,25.04.2024 18:22:22,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1277101
1249364,14.02.2024 00:39:40,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1249364
1507407,23.10.2025 18:15:48,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1507407
1468001,29.07.2025 23:25:51,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1468001
1429192,24.04.2025 18:16:45,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1429192
1393795,18.02.2025 18:16:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393795
