index,publishDate,ruleType,summary,url
885159,30.10.2020 18:56:30,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885159
867703,10.08.2020 21:39:11,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/867703
848304,01.06.2020 19:49:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/848304
823064,28.02.2020 20:44:10,Yıllık,,https://www.kap.org.tr/tr/Bildirim/823064
973544,01.11.2021 18:12:42,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/973544
956227,09.08.2021 18:27:32,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/956227
935048,06.05.2021 18:58:16,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/935048
914217,01.03.2021 20:00:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/914217
1076007,01.11.2022 18:44:59,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076007
1075448,31.10.2022 18:16:27,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1075448
1053870,09.08.2022 21:19:01,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1053870
1026746,05.05.2022 18:16:18,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1026746
1006209,01.03.2022 20:59:27,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1006209
1211926,30.10.2023 19:09:45,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1211926
1183285,09.08.2023 23:49:07,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1183285
1148327,08.05.2023 20:22:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1148327
1125343,15.03.2023 21:34:20,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1125343
1357756,13.11.2024 20:55:51,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1357756
1336654,20.09.2024 21:18:47,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1336654
1301411,24.06.2024 23:26:33,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1301411
1284602,09.05.2024 23:18:16,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1284602
1512512,06.11.2025 21:08:35,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1512512
1480182,18.08.2025 19:44:56,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1480182
1432500,30.04.2025 22:20:23,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1432500
1398755,03.03.2025 18:14:15,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1398755
