index,publishDate,ruleType,summary,url
885911,03.11.2020 18:17:17,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/885911
868390,12.08.2020 18:15:13,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/868390
846345,21.05.2020 18:23:06,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/846345
818648,12.02.2020 18:16:47,Yıllık,,https://www.kap.org.tr/tr/Bildirim/818648
974867,04.11.2021 18:21:05,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/974867
957354,11.08.2021 18:18:21,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/957354
934738,05.05.2021 18:27:29,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/934738
909170,11.02.2021 18:36:17,Yıllık,,https://www.kap.org.tr/tr/Bildirim/909170
1076427,03.11.2022 06:00:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1076427
1055582,15.08.2022 18:26:53,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1055582
1027598,09.05.2022 06:36:32,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1027598
1002149,16.02.2022 18:24:54,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1002149
1210021,25.10.2023 18:15:18,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1210021
1177640,31.07.2023 18:20:41,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1177640
1142576,28.04.2023 07:40:40,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1142576
1111634,08.02.2023 19:27:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1111634
1353828,05.11.2024 18:21:33,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1353828
1321133,05.08.2024 18:20:05,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1321133
1289777,22.05.2024 18:29:38,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1289777
1254613,04.03.2024 19:33:32,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1254613
1510162,31.10.2025 18:19:22,9 Aylık,,https://www.kap.org.tr/tr/Bildirim/1510162
1467923,29.07.2025 18:33:39,6 Aylık,,https://www.kap.org.tr/tr/Bildirim/1467923
1431089,29.04.2025 18:21:36,3 Aylık,,https://www.kap.org.tr/tr/Bildirim/1431089
1393446,17.02.2025 18:26:35,Yıllık,,https://www.kap.org.tr/tr/Bildirim/1393446
