ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
AKBNK,2020/3,1310047000.0,4978813000.0,,53901623000.0,8.75,341.23,,58.35
AKBNK,2020/6,2896295000.0,9693660000.0,,57516686000.0,8.75,341.23,,58.35
AKBNK,2020/9,4419094000.0,14301974000.0,,58972731000.0,8.75,341.23,,58.35
AKBNK,2020/12,6267167000.0,19530695000.0,,62918993000.0,8.75,341.23,,58.35
AKBNK,2021/3,2027296000.0,3849647000.0,,63033309000.0,8.75,341.23,,58.35
AKBNK,2021/6,4132166000.0,8810599000.0,,67305061000.0,8.75,341.23,,58.35
AKBNK,2021/9,7342714000.0,15126678000.0,,70251735000.0,8.75,341.23,,58.35
AKBNK,2021/12,12125908000.0,22834712000.0,,75954951000.0,8.75,341.23,,58.35
AKBNK,2022/3,8046809000.0,11047341000.0,,90664595000.0,8.75,341.23,,58.35
AKBNK,2022/6,21156862000.0,27311421000.0,,102728932000.0,8.75,341.23,,58.35
AKBNK,2022/9,38223316000.0,48610258000.0,,126198293000.0,8.75,341.23,,58.35
AKBNK,2022/12,60024084000.0,76871705000.0,,153599884000.0,8.75,341.23,,58.35
AKBNK,2023/3,10711300000.0,12944607000.0,,153735590000.0,8.75,341.23,,58.35
AKBNK,2023/6,31012976000.0,22956390000.0,,169535727000.0,8.75,341.23,,58.35
AKBNK,2023/9,51460469000.0,46129302000.0,,190023960000.0,8.75,341.23,,58.35
AKBNK,2023/12,66478940000.0,63547179000.0,,211195427000.0,8.75,341.23,,58.35
AKBNK,2024/3,13184293000.0,18729190000.0,,213100886000.0,8.75,341.23,,58.35
AKBNK,2024/6,24108123000.0,35865469000.0,,221093198000.0,8.75,341.23,,58.35
AKBNK,2024/9,33138650000.0,48571735000.0,,230945078000.0,8.75,341.23,,58.35
AKBNK,2024/12,42366070000.0,65044935000.0,,240347891000.0,8.75,341.23,,58.35
AKBNK,2025/3,13727079000.0,17874867000.0,,242925730000.0,8.75,341.23,,58.35
