ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
AKCNS,2020/3,-24680967.0,-365182251.0,190436300.0,937982550.0,-19.71,184.87,,123.4
AKCNS,2020/6,8710945.0,-731766567.0,190461626.0,1012919984.0,-19.71,184.87,,123.4
AKCNS,2020/9,73607302.0,-1152927870.0,115446461.0,1133093162.0,-19.71,184.87,,123.4
AKCNS,2020/12,115043393.0,-1635163166.0,115479828.0,1207052257.0,-19.71,184.87,,123.4
AKCNS,2021/3,24863877.0,-451298786.0,-913.0,1155937266.0,-19.71,184.87,,123.4
AKCNS,2021/6,93319079.0,-1001067529.0,-8143214.0,1233989174.0,-19.71,184.87,,123.4
AKCNS,2021/9,128848775.0,-1649178905.0,-25290644.0,1344669911.0,-19.71,184.87,,123.4
AKCNS,2021/12,303618933.0,-2450487165.0,163762399.0,1542590001.0,-19.71,184.87,,123.4
AKCNS,2022/3,103146999.0,-1070102956.0,483468874.0,1683996787.0,-19.71,184.87,,123.4
AKCNS,2022/6,333742779.0,-2715617480.0,537994367.0,1819471245.0,-19.71,184.87,,123.4
AKCNS,2022/9,1159119625.0,-4880125774.0,689013367.0,2924421106.0,-19.71,184.87,,123.4
AKCNS,2022/12,1934964500.0,-15283625861.0,774985867.0,11340728172.0,-19.71,184.87,,123.4
AKCNS,2023/3,672173170.0,-5179016883.0,616537527.0,4006868890.0,-19.71,184.87,,123.4
AKCNS,2023/6,1556916888.0,-9773163000.0,429865071.0,5335864042.0,-19.71,184.87,,123.4
AKCNS,2023/9,2866992410.0,-14915494000.0,-214033000.0,8437673833.0,-19.71,184.87,,123.4
AKCNS,2023/12,3423526000.0,-21291440000.0,342958000.0,19920816000.0,-19.71,184.87,,123.4
AKCNS,2024/3,1601619.0,-5393232000.0,458920000.0,15716861183.0,-19.71,184.87,,123.4
AKCNS,2024/6,672952564.0,-10728739000.0,517461000.0,16264861387.0,-19.71,184.87,,123.4
AKCNS,2024/9,1240961000.0,-17208557000.0,1221052000.0,18312892000.0,-19.71,184.87,,123.4
AKCNS,2024/12,2097818636.0,-22588657118.0,1030330061.0,25781753255.0,-19.71,184.87,,123.4
AKCNS,2025/3,-176876000.0,-4119534000.0,1200000000.0,21263079000.0,-19.71,184.87,,123.4
