ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
ARDYZ,2020/3,6746401.0,-4640132.0,167509.0,116151353.0,-15.71,194.92,,30.46
ARDYZ,2020/6,18597865.0,-23212237.0,1450607.0,128071710.0,-15.71,194.92,,30.46
ARDYZ,2020/9,28992990.0,-26358145.0,549762.0,136900690.0,-15.71,194.92,,30.46
ARDYZ,2020/12,65669260.0,-37241556.0,623172.0,173520977.0,-15.71,194.92,,30.46
ARDYZ,2021/3,18222905.0,-7415577.0,42491.0,191779015.0,-15.71,194.92,,30.46
ARDYZ,2021/6,58470201.0,-10240197.0,-1946778.0,232025691.0,-15.71,194.92,,30.46
ARDYZ,2021/9,96985257.0,-28713847.0,-1772706.0,270602321.0,-15.71,194.92,,30.46
ARDYZ,2021/12,151264711.0,-62568359.0,-2350914.0,324739878.0,-15.71,194.92,,30.46
ARDYZ,2022/3,21006650.0,-6145424.0,-255887.0,345590378.0,-15.71,194.92,,30.46
ARDYZ,2022/6,85133188.0,-52667456.0,15786993.0,409908976.0,-15.71,194.92,,30.46
ARDYZ,2022/9,150056266.0,-64122100.0,34733207.0,474855615.0,-15.71,194.92,,30.46
ARDYZ,2022/12,279286641.0,-390030443.0,89211289.0,1293800916.0,-15.71,194.92,,30.46
ARDYZ,2023/3,45569627.0,-47622008.0,32345441.0,680772085.0,-15.71,194.92,,30.46
ARDYZ,2023/6,173246129.0,-86345165.0,84553106.0,812353616.0,-15.71,194.92,,30.46
ARDYZ,2023/9,379260807.0,-155796103.0,201390072.0,1011353893.0,-15.71,194.92,,30.46
ARDYZ,2023/12,618516232.0,-341262887.0,333232966.0,2535737501.0,-15.71,194.92,,30.46
ARDYZ,2024/3,-24957106.0,-207164656.0,105939594.0,1997652469.0,-15.71,194.92,,30.46
ARDYZ,2024/6,35272474.0,-331018933.0,133551454.0,2218276740.0,-15.71,194.92,,30.46
ARDYZ,2024/9,77316808.0,-607132557.0,164288855.0,2457707354.0,-15.71,194.92,,30.46
ARDYZ,2024/12,468116795.0,-986635123.0,208996292.0,3648584918.0,-15.71,194.92,,30.46
ARDYZ,2025/3,101825254.0,-250810438.0,119440671.0,3298115566.0,-15.71,194.92,,30.46
