ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
DOHOL,2020/3,320762000.0,-2149379000.0,-156642000.0,7801370000.0,26.28,180.59,,17.1
DOHOL,2020/6,589049000.0,-3946438000.0,-273813000.0,8238417000.0,26.28,180.59,,17.1
DOHOL,2020/9,1424412000.0,-6698431000.0,355648000.0,9375728000.0,26.28,180.59,,17.1
DOHOL,2020/12,1390240000.0,-9421762000.0,301243000.0,9378237000.0,26.28,180.59,,17.1
DOHOL,2021/3,413004000.0,-2453873000.0,354418000.0,9901988000.0,26.28,180.59,,17.1
DOHOL,2021/6,631118000.0,-5665321000.0,497367000.0,10883088000.0,26.28,180.59,,17.1
DOHOL,2021/9,719887000.0,-9748598000.0,284655000.0,10994001000.0,26.28,180.59,,17.1
DOHOL,2021/12,2828476000.0,-14306517000.0,1172913000.0,14319680000.0,26.28,180.59,,17.1
DOHOL,2022/3,983499000.0,-1459820000.0,2210685000.0,15756737000.0,26.28,180.59,,17.1
DOHOL,2022/6,2494660000.0,-3512524000.0,3838621000.0,18650700000.0,26.28,180.59,,17.1
DOHOL,2022/9,4133267000.0,-6216181000.0,4176557000.0,20790520000.0,26.28,180.59,,17.1
DOHOL,2022/12,232125000.0,-21762546000.0,7616419000.0,50709867000.0,26.28,180.59,,17.1
DOHOL,2023/3,632120000.0,-8591058000.0,-1754342000.0,24184275000.0,26.28,180.59,,17.1
DOHOL,2023/6,6510072000.0,-17985270000.0,2783326000.0,32363295000.0,26.28,180.59,,17.1
DOHOL,2023/9,7599328000.0,-32163851000.0,1920456000.0,34097425000.0,26.28,180.59,,17.1
DOHOL,2023/12,-210182000.0,-49593522000.0,11081921000.0,79836541000.0,26.28,180.59,,17.1
DOHOL,2024/3,950279000.0,-17301445000.0,1548916000.0,61924744000.0,26.28,180.59,,17.1
DOHOL,2024/6,1859262000.0,-29627791000.0,6079149000.0,64589099000.0,26.28,180.59,,17.1
DOHOL,2024/9,3048904000.0,-49965308000.0,3753711000.0,71999918000.0,26.28,180.59,,17.1
DOHOL,2024/12,5415135221.0,-67209233313.0,8694011399.0,92866860194.0,26.28,180.59,,17.1
DOHOL,2025/3,-519766000.0,-9525044000.0,-115010000.0,80446140000.0,26.28,180.59,,17.1
