ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
GOODY,2020/3,25470013.0,-597516503.0,558391511.0,926290833.0,-5.52,-21.03,,15.06
GOODY,2020/6,-2370190.0,-1013828993.0,124078852.0,898450630.0,-5.52,-21.03,,15.06
GOODY,2020/9,97830777.0,-1822018676.0,57850378.0,998651597.0,-5.52,-21.03,,15.06
GOODY,2020/12,151247313.0,-2703989868.0,-15067836.0,1052116374.0,-5.52,-21.03,,15.06
GOODY,2021/3,70927191.0,-830933509.0,73433976.0,1019552494.0,-5.52,-21.03,,15.06
GOODY,2021/6,178554837.0,-1637772612.0,176453052.0,1127180139.0,-5.52,-21.03,,15.06
GOODY,2021/9,234396425.0,-2619160492.0,267127181.0,1183021727.0,-5.52,-21.03,,15.06
GOODY,2021/12,367465078.0,-3701272702.0,119591407.0,1317358538.0,-5.52,-21.03,,15.06
GOODY,2022/3,83889973.0,-1623459141.0,141624635.0,1401248511.0,-5.52,-21.03,,15.06
GOODY,2022/6,206585907.0,-3689959431.0,448602368.0,1523944445.0,-5.52,-21.03,,15.06
GOODY,2022/9,388519660.0,-6135671189.0,653732302.0,1705878198.0,-5.52,-21.03,,15.06
GOODY,2022/12,-769959024.0,-18577625856.0,1170440209.0,3528733750.0,-5.52,-21.03,,15.06
GOODY,2023/3,369348560.0,-7824015925.0,251214655.0,1875866400.0,-5.52,-21.03,,15.06
GOODY,2023/6,182734722.0,-13372336795.0,-241440576.0,1689252562.0,-5.52,-21.03,,15.06
GOODY,2023/9,389133111.0,-19204494384.0,280968873.0,1895650951.0,-5.52,-21.03,,15.06
GOODY,2023/12,-641827625.0,-25768575862.0,502441263.0,4298185087.0,-5.52,-21.03,,15.06
GOODY,2024/3,-54125863.0,-6341216621.0,91065489.0,3369071475.0,-5.52,-21.03,,15.06
GOODY,2024/6,-158049955.0,-11471954534.0,-11958031.0,3558144411.0,-5.52,-21.03,,15.06
GOODY,2024/9,-516727430.0,-18289682932.0,419588964.0,3535817023.0,-5.52,-21.03,,15.06
GOODY,2024/12,-1101828129.0,-24379132513.0,439062504.0,4652640504.0,-5.52,-21.03,,15.06
GOODY,2025/3,133554388.0,-5240460388.0,59155598.0,4217175777.0,-5.52,-21.03,,15.06
