ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
GSDDE,2020/3,-5953000.0,-9285000.0,-4341000.0,151926000.0,20.88,38.47,,9.61
GSDDE,2020/6,-14542000.0,-20911000.0,-7640000.0,163759000.0,20.88,38.47,,9.61
GSDDE,2020/9,-16438000.0,-34173000.0,-5085000.0,185080000.0,20.88,38.47,,9.61
GSDDE,2020/12,-17135000.0,-46158000.0,-15671000.0,173051000.0,20.88,38.47,,9.61
GSDDE,2021/3,7821000.0,-13334000.0,-18465000.0,204235000.0,20.88,38.47,,9.61
GSDDE,2021/6,28847000.0,-27145000.0,58372000.0,236052000.0,20.88,38.47,,9.61
GSDDE,2021/9,63566000.0,-41817000.0,63922000.0,374449000.0,20.88,38.47,,9.61
GSDDE,2021/12,139246000.0,-64313000.0,-11990000.0,603660000.0,20.88,38.47,,9.61
GSDDE,2022/3,44187000.0,-25813000.0,-9488000.0,699130000.0,20.88,38.47,,9.61
GSDDE,2022/6,121058000.0,-54322000.0,27950000.0,862369000.0,20.88,38.47,,9.61
GSDDE,2022/9,186962000.0,-85694000.0,-497000.0,1011500000.0,20.88,38.47,,9.61
GSDDE,2022/12,62415000.0,-200946000.0,90540000.0,1740257000.0,20.88,38.47,,9.61
GSDDE,2023/3,2218000.0,-56990000.0,-26237000.0,1069370000.0,20.88,38.47,,9.61
GSDDE,2023/6,-2146000.0,-146399000.0,-75132000.0,1435558000.0,20.88,38.47,,9.61
GSDDE,2023/9,-6166000.0,-212946000.0,-108232000.0,1519215000.0,20.88,38.47,,9.61
GSDDE,2023/12,-440338000.0,-315153000.0,-152515000.0,2425449000.0,20.88,38.47,,9.61
GSDDE,2024/3,-37818000.0,-102716000.0,-41437000.0,1882920000.0,20.88,38.47,,9.61
GSDDE,2024/6,-70350000.0,-240912000.0,-81822000.0,1930629000.0,20.88,38.47,,9.61
GSDDE,2024/9,-34075000.0,-354418000.0,284312000.0,2105579000.0,20.88,38.47,,9.61
GSDDE,2024/12,-43347211.0,-443215483.0,210240058.0,2787853208.0,20.88,38.47,,9.61
GSDDE,2025/3,-62599000.0,-84182000.0,-43833000.0,2384489000.0,20.88,38.47,,9.61
