ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
GWIND,2020/3,0.0,-20474474.0,-4240310.0,0.0,-4.63,-2.37,,23.06
GWIND,2020/6,0.0,-41013572.0,-24886757.0,0.0,-4.63,-2.37,,23.06
GWIND,2020/9,0.0,-66803929.0,-29788178.0,0.0,-4.63,-2.37,,23.06
GWIND,2020/12,156356542.0,-88705657.0,86575938.0,927237363.0,-4.63,-2.37,,23.06
GWIND,2021/3,7796717.0,-30566130.0,-12477163.0,835034080.0,-4.63,-2.37,,23.06
GWIND,2021/6,14157974.0,-64544071.0,180331088.0,841395337.0,-4.63,-2.37,,23.06
GWIND,2021/9,92784992.0,-107066933.0,-14420031.0,920022355.0,-4.63,-2.37,,23.06
GWIND,2021/12,170912859.0,-145366749.0,-58459470.0,997686685.0,-4.63,-2.37,,23.06
GWIND,2022/3,182170914.0,-42857015.0,-22412206.0,1029857599.0,-4.63,-2.37,,23.06
GWIND,2022/6,523545133.0,-90147639.0,113818926.0,1371231818.0,-4.63,-2.37,,23.06
GWIND,2022/9,810293280.0,-161153943.0,53788324.0,1657979965.0,-4.63,-2.37,,23.06
GWIND,2022/12,1464627189.0,-652409851.0,-434902885.0,6940704479.0,-4.63,-2.37,,23.06
GWIND,2023/3,235841484.0,-222098356.0,-60661047.0,1851078836.0,-4.63,-2.37,,23.06
GWIND,2023/6,457047969.0,-440205256.0,-62827594.0,2071406848.0,-4.63,-2.37,,23.06
GWIND,2023/9,805935668.0,-758916567.0,-143410679.0,2420294547.0,-4.63,-2.37,,23.06
GWIND,2023/12,900270559.0,-1087585421.0,-138604669.0,10153863138.0,-4.63,-2.37,,23.06
GWIND,2024/3,208654023.0,-262967987.0,-94577232.0,8300989943.0,-4.63,-2.37,,23.06
GWIND,2024/6,416500846.0,-612875791.0,-92484967.0,8729851469.0,-4.63,-2.37,,23.06
GWIND,2024/9,605479128.0,-1024918141.0,-190368470.0,9660390127.0,-4.63,-2.37,,23.06
GWIND,2024/12,1046597113.0,-1408741860.0,1645187339.0,13115737412.0,-4.63,-2.37,,23.06
GWIND,2025/3,133779452.0,-276923108.0,-516479005.0,11641989016.0,-4.63,-2.37,,23.06
