ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
KONTR,2020/3,0.0,-28345196.0,8487484.0,0.0,-45.04,-54.18,,27.44
KONTR,2020/6,8610855.0,-57614828.0,28849907.0,50955648.0,-45.04,-54.18,,27.44
KONTR,2020/9,13415113.0,-96691308.0,38084900.0,55699474.0,-45.04,-54.18,,27.44
KONTR,2020/12,23978951.0,-153569429.0,26201260.0,133727125.0,-45.04,-54.18,,27.44
KONTR,2021/3,17782523.0,-80035670.0,6955513.0,151439211.0,-45.04,-54.18,,27.44
KONTR,2021/6,42462396.0,-132212908.0,57129732.0,176035372.0,-45.04,-54.18,,27.44
KONTR,2021/9,70744724.0,-251492089.0,101006229.0,197360618.0,-45.04,-54.18,,27.44
KONTR,2021/12,130667738.0,-446448313.0,232733296.0,286399809.0,-45.04,-54.18,,27.44
KONTR,2022/3,43230582.0,-158529522.0,328898850.0,330076358.0,-45.04,-54.18,,27.44
KONTR,2022/6,119538008.0,-349584964.0,397570484.0,395528494.0,-45.04,-54.18,,27.44
KONTR,2022/9,195027620.0,-541040293.0,636404518.0,474400997.0,-45.04,-54.18,,27.44
KONTR,2022/12,655971510.0,-2501477956.0,1160519422.0,2250980749.0,-45.04,-54.18,,27.44
KONTR,2023/3,133996771.0,-984980418.0,415075403.0,1369741469.0,-45.04,-54.18,,27.44
KONTR,2023/6,301948586.0,-1603059773.0,905441273.0,1484909823.0,-45.04,-54.18,,27.44
KONTR,2023/9,553691679.0,-2884987726.0,0.0,2055814303.0,-45.04,-54.18,,27.44
KONTR,2023/12,622272749.0,-5008199789.0,2369343305.0,5325351635.0,-45.04,-54.18,,27.44
KONTR,2024/3,369302507.0,-1123391000.0,1376644914.0,4545631186.0,-45.04,-54.18,,27.44
KONTR,2024/6,745692836.0,-3119834253.0,2376700665.0,5233497318.0,-45.04,-54.18,,27.44
KONTR,2024/9,875524472.0,-5324579627.0,2502243044.0,5952975155.0,-45.04,-54.18,,27.44
KONTR,2024/12,343569475.0,-10665994999.0,4654376292.0,7368420611.0,-45.04,-54.18,,27.44
KONTR,2025/3,303001528.0,-1658279980.0,182450433.0,6765156597.0,-45.04,-54.18,,27.44
