ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
KRDMA,2020/3,-34078123.0,-295617975.0,-7138517.0,783966888.0,-7.76,123.78,,24.5
KRDMA,2020/6,-56446207.0,-631058286.0,38728807.0,757034411.0,-7.76,123.78,,24.5
KRDMA,2020/9,-83578947.0,-973211345.0,19124869.0,729896300.0,-7.76,123.78,,24.5
KRDMA,2020/12,12784959.0,-1343904411.0,-46605442.0,822743588.0,-7.76,123.78,,24.5
KRDMA,2021/3,105662919.0,-410072409.0,-14011012.0,928429791.0,-7.76,123.78,,24.5
KRDMA,2021/6,299453943.0,-918553265.0,-108107156.0,1098155494.0,-7.76,123.78,,24.5
KRDMA,2021/9,450357240.0,-1475130721.0,-147779496.0,1246077885.0,-7.76,123.78,,24.5
KRDMA,2021/12,812122453.0,-2104224152.0,-154144676.0,2099825678.0,-7.76,123.78,,24.5
KRDMA,2022/3,246763806.0,-957953877.0,-50922560.0,2303555169.0,-7.76,123.78,,24.5
KRDMA,2022/6,482658618.0,-2048100861.0,-166477696.0,2288290536.0,-7.76,123.78,,24.5
KRDMA,2022/9,504293820.0,-3395338202.0,-227007472.0,2282103971.0,-7.76,123.78,,24.5
KRDMA,2022/12,233559734.0,-10537787135.0,-285794404.0,7716304222.0,-7.76,123.78,,24.5
KRDMA,2023/3,135138007.0,-3790808463.0,-75572759.0,2557302212.0,-7.76,123.78,,24.5
KRDMA,2023/6,252811741.0,-6147186052.0,-277557687.0,2249064255.0,-7.76,123.78,,24.5
KRDMA,2023/9,263646702.0,-10443160515.0,37496651.0,2465754588.0,-7.76,123.78,,24.5
KRDMA,2023/12,483267778.0,-15043901057.0,-422720234.0,11213064330.0,-7.76,123.78,,24.5
KRDMA,2024/3,-175373807.0,-3213113768.0,-149718238.0,8874858611.0,-7.76,123.78,,24.5
KRDMA,2024/6,-385566959.0,-6496616157.0,-182844590.0,9508104990.0,-7.76,123.78,,24.5
KRDMA,2024/9,-624597342.0,-10927821413.0,552684520.0,10185721736.0,-7.76,123.78,,24.5
KRDMA,2024/12,-801490846.0,-14131204767.0,522732313.0,13599420045.0,-7.76,123.78,,24.5
KRDMA,2025/3,-312270067.0,-2887170274.0,555790979.0,11607852433.0,-7.76,123.78,,24.5
