ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
ORGE,2020/3,7722789.0,-20895188.0,11842761.0,192411189.0,-17.5,137.61,,69.05
ORGE,2020/6,17979136.0,-48209019.0,36533309.0,202656134.0,-17.5,137.61,,69.05
ORGE,2020/9,32881677.0,-75460976.0,38073928.0,219581922.0,-17.5,137.61,,69.05
ORGE,2020/12,54578138.0,-100677140.0,35590547.0,241404005.0,-17.5,137.61,,69.05
ORGE,2021/3,9220723.0,-26328455.0,-15171285.0,250624501.0,-17.5,137.61,,69.05
ORGE,2021/6,26387669.0,-75580981.0,-36202182.0,267528447.0,-17.5,137.61,,69.05
ORGE,2021/9,55063036.0,-118870589.0,-47649074.0,296133288.0,-17.5,137.61,,69.05
ORGE,2021/12,103961364.0,-197239838.0,-10644913.0,345324068.0,-17.5,137.61,,69.05
ORGE,2022/3,40608890.0,-86015061.0,94003259.0,377825926.0,-17.5,137.61,,69.05
ORGE,2022/6,114361799.0,-182347841.0,108701703.0,449784689.0,-17.5,137.61,,69.05
ORGE,2022/9,170811821.0,-288225523.0,76612210.0,506127550.0,-17.5,137.61,,69.05
ORGE,2022/12,138226110.0,-829217111.0,104503340.0,1095776719.0,-17.5,137.61,,69.05
ORGE,2023/3,75714341.0,-425731437.0,-19159225.0,732676016.0,-17.5,137.61,,69.05
ORGE,2023/6,226840852.0,-519081775.0,2738572.0,896523068.0,-17.5,137.61,,69.05
ORGE,2023/9,349873606.0,-918805610.0,-20256216.0,1018958569.0,-17.5,137.61,,69.05
ORGE,2023/12,315154982.0,-1581509531.0,118124220.0,1908321908.0,-17.5,137.61,,69.05
ORGE,2024/3,100888527.0,-362174002.0,51181462.0,1617779625.0,-17.5,137.61,,69.05
ORGE,2024/6,184852324.0,-744207229.0,28125963.0,1791804236.0,-17.5,137.61,,69.05
ORGE,2024/9,408224243.0,-1163014653.0,-82793895.0,2157182454.0,-17.5,137.61,,69.05
ORGE,2024/12,866961894.0,-1807723211.0,-132743027.0,3177607289.0,-17.5,137.61,,69.05
ORGE,2025/3,86440025.0,-372966523.0,8026894.0,2869594603.0,-17.5,137.61,,69.05
