ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
OYAKC,2020/3,-4744113.0,-446733610.0,104352959.0,218910741.0,34.07,349.48,,21.96
OYAKC,2020/6,1364717.0,-968508918.0,195274096.0,1919929824.0,34.07,349.48,,21.96
OYAKC,2020/9,159584694.0,-1643401502.0,83720200.0,2078531668.0,34.07,349.48,,21.96
OYAKC,2020/12,358453306.0,-2354049813.0,50024080.0,2282151205.0,34.07,349.48,,21.96
OYAKC,2021/3,132285649.0,-628200146.0,-52303050.0,2413824742.0,34.07,349.48,,21.96
OYAKC,2021/6,290263365.0,-1481538433.0,-77994082.0,2561463810.0,34.07,349.48,,21.96
OYAKC,2021/9,442982621.0,-2362966280.0,-131544871.0,2714297646.0,34.07,349.48,,21.96
OYAKC,2021/12,0.0,-3537495555.0,-367988766.0,10065836388.0,34.07,349.48,,21.96
OYAKC,2022/3,222405305.0,-1312697428.0,213073925.0,3198768436.0,34.07,349.48,,21.96
OYAKC,2022/6,882639216.0,-3392416997.0,750620078.0,3822708376.0,34.07,349.48,,21.96
OYAKC,2022/9,1571579737.0,-5906468109.0,578078140.0,4510898101.0,34.07,349.48,,21.96
OYAKC,2022/12,8822949317.0,-19855968138.0,831801127.0,18597447850.0,34.07,349.48,,21.96
OYAKC,2023/3,1017059709.0,-5901200926.0,1782150570.0,8381367792.0,34.07,349.48,,21.96
OYAKC,2023/6,2861119825.0,-12131309251.0,2194432797.0,10188174712.0,34.07,349.48,,21.96
OYAKC,2023/9,5489015841.0,-21189104809.0,1086963853.0,12827954279.0,34.07,349.48,,21.96
OYAKC,2023/12,11734975327.0,-30934126925.0,-332589670.0,38500315834.0,34.07,349.48,,21.96
OYAKC,2024/3,807025603.0,-8638114133.0,-2040700317.0,31444851621.0,34.07,349.48,,21.96
OYAKC,2024/6,2978214625.0,-18100627387.0,-596747306.0,36209608748.0,34.07,349.48,,21.96
OYAKC,2024/9,5331834800.0,-30093487586.0,-1188377523.0,41523360573.0,34.07,349.48,,21.96
OYAKC,2024/12,8990011788.0,-39884785725.0,-1867300206.0,57222794779.0,34.07,349.48,,21.96
OYAKC,2025/3,996277909.0,-7688516730.0,2846055014.0,46361657889.0,34.07,349.48,,21.96
