ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
QUAGR,2020/3,0.0,-92633345.0,53967723.0,0.0,46.72,-25.89,,3.8
QUAGR,2020/6,0.0,-211892402.0,30531157.0,0.0,46.72,-25.89,,3.8
QUAGR,2020/9,0.0,-313689985.0,30621197.0,0.0,46.72,-25.89,,3.8
QUAGR,2020/12,144518396.0,-440287403.0,30585771.0,339536039.0,46.72,-25.89,,3.8
QUAGR,2021/3,45580436.0,-123257696.0,78424242.0,385064682.0,46.72,-25.89,,3.8
QUAGR,2021/6,138556696.0,-273656207.0,54373468.0,723205704.0,46.72,-25.89,,3.8
QUAGR,2021/9,207149308.0,-396627415.0,128228087.0,751083615.0,46.72,-25.89,,3.8
QUAGR,2021/12,565611996.0,-585270625.0,182660742.0,1101503446.0,46.72,-25.89,,3.8
QUAGR,2022/3,245536030.0,-322305528.0,267404642.0,1346858855.0,46.72,-25.89,,3.8
QUAGR,2022/6,584371260.0,-895602953.0,852474858.0,1684478560.0,46.72,-25.89,,3.8
QUAGR,2022/9,1092453762.0,-1595549180.0,878267278.0,2191880801.0,46.72,-25.89,,3.8
QUAGR,2022/12,2610907198.0,-4546023443.0,3116407891.0,7358111088.0,46.72,-25.89,,3.8
QUAGR,2023/3,199056031.0,-1752351185.0,738927354.0,3937189954.0,46.72,-25.89,,3.8
QUAGR,2023/6,599634223.0,-3508222449.0,2431637576.0,4339937912.0,46.72,-25.89,,3.8
QUAGR,2023/9,635546112.0,-5995197301.0,2895739454.0,4369053223.0,46.72,-25.89,,3.8
QUAGR,2023/12,605572136.0,-8252725029.0,3621659337.0,11212524780.0,46.72,-25.89,,3.8
QUAGR,2024/3,-648949023.0,-1737362120.0,-88232125.0,8279214882.0,46.72,-25.89,,3.8
QUAGR,2024/6,-1545750554.0,-4394816471.0,1179493111.0,8132284886.0,46.72,-25.89,,3.8
QUAGR,2024/9,-2542112572.0,-6373341771.0,1492390716.0,7998399359.0,46.72,-25.89,,3.8
QUAGR,2024/12,-3756220512.0,-8533563442.0,-289623432.0,10324432767.0,46.72,-25.89,,3.8
QUAGR,2025/3,-647363502.0,-1362410914.0,316615828.0,8396210843.0,46.72,-25.89,,3.8
