ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
TMSN,2020/3,-8801153.0,-91040263.0,31731162.0,722292550.0,-7.81,48.94,,105.0
TMSN,2020/6,-2742635.0,-206951900.0,105486734.0,727954152.0,-7.81,48.94,,105.0
TMSN,2020/9,6062455.0,-348654098.0,96672697.0,736993312.0,-7.81,48.94,,105.0
TMSN,2020/12,58935140.0,-625480615.0,30484007.0,824580213.0,-7.81,48.94,,105.0
TMSN,2021/3,27249163.0,-200132696.0,-5968536.0,851612860.0,-7.81,48.94,,105.0
TMSN,2021/6,41741057.0,-454685673.0,41028725.0,865590631.0,-7.81,48.94,,105.0
TMSN,2021/9,40886776.0,-654808486.0,28210516.0,865099409.0,-7.81,48.94,,105.0
TMSN,2021/12,50570441.0,-841803649.0,88233697.0,1004005899.0,-7.81,48.94,,105.0
TMSN,2022/3,97221540.0,-326230850.0,91776242.0,1099301783.0,-7.81,48.94,,105.0
TMSN,2022/6,277248746.0,-935299274.0,72375350.0,1279864888.0,-7.81,48.94,,105.0
TMSN,2022/9,421849112.0,-1641611958.0,97331299.0,1422078190.0,-7.81,48.94,,105.0
TMSN,2022/12,387206712.0,-5746973047.0,-213812644.0,4192092250.0,-7.81,48.94,,105.0
TMSN,2023/3,81582726.0,-1531231034.0,122111654.0,1693635966.0,-7.81,48.94,,105.0
TMSN,2023/6,390787459.0,-3272700987.0,478023555.0,2005436187.0,-7.81,48.94,,105.0
TMSN,2023/9,954775189.0,-5778952195.0,334289814.0,2567399435.0,-7.81,48.94,,105.0
TMSN,2023/12,971022339.0,-8602671446.0,769125710.0,7013344702.0,-7.81,48.94,,105.0
TMSN,2024/3,105424325.0,-1356425333.0,250521605.0,5674867182.0,-7.81,48.94,,105.0
TMSN,2024/6,259458352.0,-2717560221.0,0.0,6308839362.0,-7.81,48.94,,105.0
TMSN,2024/9,-246138881.0,-4717203232.0,1751560195.0,6342145439.0,-7.81,48.94,,105.0
TMSN,2024/12,-572003108.0,-6974071292.0,2147481887.0,8218409132.0,-7.81,48.94,,105.0
TMSN,2025/3,6305104322.0,-927159174.0,-230360789.0,15421727422.0,-7.81,48.94,,105.0
