ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
TUKAS,2020/3,25542420.0,-161573171.0,-34107683.0,305505726.0,25.52,21.26,,2.69
TUKAS,2020/6,48535598.0,-305929152.0,-55214839.0,328762224.0,25.52,21.26,,2.69
TUKAS,2020/9,103488047.0,-441045878.0,67790086.0,383790267.0,25.52,21.26,,2.69
TUKAS,2020/12,127897705.0,-570722155.0,73640794.0,548489926.0,25.52,21.26,,2.69
TUKAS,2021/3,9360672.0,-142174253.0,-20458782.0,558446249.0,25.52,21.26,,2.69
TUKAS,2021/6,35784068.0,-297279066.0,-35236054.0,584641538.0,25.52,21.26,,2.69
TUKAS,2021/9,83537012.0,-522330778.0,100066116.0,631999478.0,25.52,21.26,,2.69
TUKAS,2021/12,182092847.0,-751268726.0,10167040.0,731454766.0,25.52,21.26,,2.69
TUKAS,2022/3,243756142.0,-351682372.0,-35734397.0,975415215.0,25.52,21.26,,2.69
TUKAS,2022/6,562078142.0,-643423293.0,-141893709.0,1294184346.0,25.52,21.26,,2.69
TUKAS,2022/9,1040803141.0,-1404574162.0,479156291.0,1773185330.0,25.52,21.26,,2.69
TUKAS,2022/12,1863071176.0,-4541408546.0,1106666157.0,4690656626.0,25.52,21.26,,2.69
TUKAS,2023/3,51523190.0,-1263820787.0,332672120.0,2159845848.0,25.52,21.26,,2.69
TUKAS,2023/6,491372481.0,-2462357916.0,-152210827.0,2602412373.0,25.52,21.26,,2.69
TUKAS,2023/9,1019778907.0,-4659457751.0,-619225318.0,3125469575.0,25.52,21.26,,2.69
TUKAS,2023/12,1675972311.0,-6597020667.0,-150350448.0,10742232590.0,25.52,21.26,,2.69
TUKAS,2024/3,-78825690.0,-1647795053.0,195961074.0,8474776000.0,25.52,21.26,,2.69
TUKAS,2024/6,217357942.0,-2692554401.0,901085381.0,9487144446.0,25.52,21.26,,2.69
TUKAS,2024/9,430208047.0,-4795713476.0,2796848452.0,10525172379.0,25.52,21.26,,2.69
TUKAS,2024/12,979870411.0,-6717946185.0,2858010646.0,14159776525.0,25.52,21.26,,2.69
TUKAS,2025/3,488146304.0,-1565392590.0,1214915854.0,12883208824.0,25.52,21.26,,2.69
