ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
TUPRS,2020/3,-2265010000.0,-17848663000.0,2601752000.0,10791171000.0,49.83,376.95,,201.7
TUPRS,2020/6,-2449849000.0,-26238744000.0,7728409000.0,10328337000.0,49.83,376.95,,201.7
TUPRS,2020/9,-2869979000.0,-42083356000.0,4932339000.0,9870505000.0,49.83,376.95,,201.7
TUPRS,2020/12,-2349183000.0,-61479585000.0,6485396000.0,12925433000.0,49.83,376.95,,201.7
TUPRS,2021/3,-760495000.0,-18712884000.0,2073116000.0,10727679000.0,49.83,376.95,,201.7
TUPRS,2021/6,939368000.0,-49436747000.0,-1629244000.0,12520268000.0,49.83,376.95,,201.7
TUPRS,2021/9,1927338000.0,-87713224000.0,-2627961000.0,13800305000.0,49.83,376.95,,201.7
TUPRS,2021/12,3494837000.0,-136631978000.0,-6466545000.0,19081000000.0,49.83,376.95,,201.7
TUPRS,2022/3,895661000.0,-71950399000.0,-1221988000.0,15964997000.0,49.83,376.95,,201.7
TUPRS,2022/6,11507065000.0,-191317066000.0,-3397799000.0,28150292000.0,49.83,376.95,,201.7
TUPRS,2022/9,23456118000.0,-322428181000.0,-3677325000.0,45900318000.0,49.83,376.95,,201.7
TUPRS,2022/12,61313713000.0,-803671342000.0,-13431900000.0,179412567000.0,49.83,376.95,,201.7
TUPRS,2023/3,6748073000.0,-147956071000.0,-5766044000.0,61493223000.0,49.83,376.95,,201.7
TUPRS,2023/6,13965317000.0,-302275494000.0,-8981180000.0,68356252000.0,49.83,376.95,,201.7
TUPRS,2023/9,35271565000.0,-569051907000.0,-18129051000.0,72564910000.0,49.83,376.95,,201.7
TUPRS,2023/12,77354422000.0,-832772469000.0,-14259465000.0,293003849000.0,49.83,376.95,,201.7
TUPRS,2024/3,320345000.0,-210330068000.0,1001794000.0,230216956000.0,49.83,376.95,,201.7
TUPRS,2024/6,5351345000.0,-456982575000.0,-8079709000.0,235292313000.0,49.83,376.95,,201.7
TUPRS,2024/9,13572731000.0,-727791258000.0,6831453000.0,245109097000.0,49.83,376.95,,201.7
TUPRS,2024/12,22972625935.0,-931133172930.0,-30825687137.0,359039336613.0,49.83,376.95,,201.7
TUPRS,2025/3,97077000.0,-145458378000.0,1531453000.0,286509048000.0,49.83,376.95,,201.7
