ticker,period,net_profit,sales,total_debt,total_equity,return_1y,return_3y,return_5y,current_price
YKBNK,2020/3,1129443000.0,3972651000.0,,41941179000.0,17.07,255.4,,32.1
YKBNK,2020/6,2460774000.0,7847641000.0,,44122423000.0,17.07,255.4,,32.1
YKBNK,2020/9,4314432000.0,11936602000.0,,46720099000.0,17.07,255.4,,32.1
YKBNK,2020/12,5079518000.0,16976801000.0,,47564471000.0,17.07,255.4,,32.1
YKBNK,2021/3,1452729000.0,3710294000.0,,50766176000.0,17.07,255.4,,32.1
YKBNK,2021/6,3685364000.0,8474223000.0,,52411860000.0,17.07,255.4,,32.1
YKBNK,2021/9,6932090000.0,14824273000.0,,55773749000.0,17.07,255.4,,32.1
YKBNK,2021/12,10489758000.0,22697482000.0,,63484178000.0,17.07,255.4,,32.1
YKBNK,2022/3,7258448000.0,10173916000.0,,78110438000.0,17.07,255.4,,32.1
YKBNK,2022/6,19180737000.0,25707088000.0,,94430452000.0,17.07,255.4,,32.1
YKBNK,2022/9,35315448000.0,46411999000.0,,112517344000.0,17.07,255.4,,32.1
YKBNK,2022/12,52744689000.0,76948376000.0,,126256390000.0,17.07,255.4,,32.1
YKBNK,2023/3,12640225000.0,13827419000.0,,131424206000.0,17.07,255.4,,32.1
YKBNK,2023/6,24116471000.0,21428234000.0,,139244977000.0,17.07,255.4,,32.1
YKBNK,2023/9,48702204000.0,49131595000.0,,162203582000.0,17.07,255.4,,32.1
YKBNK,2023/12,68008836000.0,72901992000.0,,178851541000.0,17.07,255.4,,32.1
YKBNK,2024/3,10301888000.0,22628226000.0,,180582970000.0,17.07,255.4,,32.1
YKBNK,2024/6,17404573000.0,39653758000.0,,183093005000.0,17.07,255.4,,32.1
YKBNK,2024/9,22405414000.0,53811555000.0,,190967149000.0,17.07,255.4,,32.1
YKBNK,2024/12,29016823000.0,75913557000.0,,192804048000.0,17.07,255.4,,32.1
YKBNK,2025/3,11418148000.0,26167003000.0,,205672126000.0,17.07,255.4,,32.1
