date,usd_try,eur_try,cpi,bist100,m2,tcmb_repo,us_cpi,us_cli
2020-01-01,6.5696,7.2107,446.45,890.85,2469235642.0,1978.0,118.30520212,98.9
2020-01-02,6.5696,7.2107,446.45,890.85,2469235642.0,1978.0,118.30520212,98.9
2020-01-03,6.5696,7.2107,446.45,890.85,2469235642.0,1978.0,118.30520212,98.9
2020-01-04,6.5696,7.2107,446.45,890.85,2469235642.0,1978.0,118.30520212,98.9
2020-01-05,6.5696,7.2107,446.45,890.85,2469235642.0,1978.0,118.30520212,98.9
2020-01-06,6.8138,7.577,446.45,1072.66,2469235642.0,1978.0,118.30520212,98.9
2020-01-07,6.8432,7.672,446.45,1153.15,2469235642.0,1978.0,118.30520212,98.9
2020-01-08,6.8432,7.672,446.45,1153.15,2469235642.0,1978.0,118.30520212,98.9
2020-01-09,7.3261,8.7284,446.45,1085.19,2469235642.0,1978.0,118.30520212,98.9
2020-01-10,7.7522,9.0835,446.45,1143.51,2469235642.0,1978.0,118.30520212,98.9
2020-01-11,7.7522,9.0835,446.45,1143.51,2469235642.0,1978.0,118.30520212,98.9
2020-01-12,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-13,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-14,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-15,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-16,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-17,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-18,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-19,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-20,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-21,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-22,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-23,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-24,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
2020-01-25,7.7892,9.3306,446.45,1325.29,2469235642.0,1978.0,118.30520212,98.9
