FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,36094850,40069361,45920836,65578200,49518602,38732725,36517587,56582868,37646266,37333423,39547623,31933830,26223294,27190339,24022443,DMSAS
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,3962101,3976900,3725376,2753160,9120703,9145082,7862254,14782822,9607975,10178562,16607261,6033175,3000072,4524674,3228399,DMSAS
1AB,Finansal Yatırımlar,Short-Term Financial Investments,0,0,0,6286,3724,0,0,0,0,0,0,0,0,0,0,DMSAS
1AC,Ticari Alacaklar,Short-Term Trade Receivables,20572546,23326331,24667144,35104402,24077637,17671323,18628238,28406972,17136812,15977948,13558243,13569373,12850317,13457171,11727718,DMSAS
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1AE,Diğer Alacaklar,Short-Term Other Receivables,630522,678577,656894,1394858,1070398,1138054,919698,769281,681354,619179,585365,1192937,768235,586467,590630,DMSAS
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1AF,Stoklar,Inventories,8385513,9609601,12887990,19562476,11216704,9114615,8035371,11895757,8816885,8335146,7267226,9787689,8383693,6850716,6945079,DMSAS
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1AH,Diğer Dönen Varlıklar,Other Current Assets,2544168,2477953,3983432,6757018,4029437,1663651,1072026,728037,1403240,2222588,1529528,1350655,1220978,1771310,1530617,DMSAS
1AI,(Ara Toplam),(Subtotal),36094850,40069361,45920836,65578200,49518602,38732725,36517587,56582868,37646266,37333423,39547623,31933830,26223294,27190339,24022443,DMSAS
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1AK,Duran Varlıklar,LONG TERM ASSETS,12467488,12267877,11799972,50572605,41055716,29963611,27993577,55647520,40339975,42478192,42825781,56309748,45830128,44808540,44837179,DMSAS
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BB,Diğer Alacaklar,Other Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BC,Finansal Yatırımlar,Financial Investments,78078,87177,97756,287435,170299,165803,156394,383095,273374,267359,303604,418929,338600,324157,353453,DMSAS
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BFAA,Kullanım Hakkı Varlıkları,None,319845,245276,189187,495872,144566,90351,130886,357574,211846,182329,131417,439605,290203,255624,206951,DMSAS
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,11483656,11224745,10684284,44349981,40515687,29569873,27541448,53493182,38323309,40604090,41514760,52589983,42154240,41172530,41163441,DMSAS
1BGA,Şerefiye,Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,67770,58012,53131,190013,55119,33799,30066,137948,95189,96110,95702,117075,119743,255669,234862,DMSAS
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,513185,641372,772118,5235338,29863,0,0,1275720,1376281,1266539,722354,2468639,2746005,2643432,2740005,DMSAS
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,4953,11295,3497,13965,140182,103786,134783,0,59976,61766,57944,275517,181337,157128,138467,DMSAS
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,48562338,52337238,57720808,116150805,90574318,68696336,64511164,112230388,77986241,79811616,82373404,88243578,72053423,71998879,68859622,DMSAS
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DMSAS
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,28940088,35043821,42377431,82072769,60468129,45812856,45992897,67530248,41875838,42554676,45054079,41123509,34420664,35092934,32239521,DMSAS
2AA,Finansal Borçlar,Short-Term Financial Loans,14375308,19596419,26164981,54869893,43824476,33223206,32957590,40252955,27060762,28928274,32499368,25023943,20019798,21127230,19137679,DMSAS
