FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,211567088,203869538,200040534,371800182,223936460,172752497,205175527,414148851,285941485,281776690,334911314,397039557,365154532,484714888,479622814,MPARK
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,44307225,69398373,53577115,67369261,48830090,30462048,42932765,137683690,79043551,72097350,99227792,96798980,95543233,220696090,188689108,MPARK
1AB,Finansal Yatırımlar,Short-Term Financial Investments,0,11158441,11544731,18839900,13907379,3836549,0,0,0,0,0,0,0,0,0,MPARK
1AC,Ticari Alacaklar,Short-Term Trade Receivables,111440175,64911451,70223587,160681935,89030843,79749126,94502990,179043243,137296436,149968588,170593023,216019690,202410602,191544092,203287367,MPARK
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1AE,Diğer Alacaklar,Short-Term Other Receivables,8681693,7124807,7056021,10874226,6609304,5756332,7186429,10426770,7144195,8237541,9674366,12664862,11177363,12439014,14782235,MPARK
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1AF,Stoklar,Inventories,23330378,26106917,29054447,62662503,33935469,26143930,30891016,52706256,39650719,29570021,28461142,35619451,23845646,28240699,24171893,MPARK
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1AH,Diğer Dönen Varlıklar,Other Current Assets,23807618,25169548,28584635,51372357,31623375,26804512,29662328,34288892,22806583,21903191,26954992,35936575,32177688,31794994,48692210,MPARK
1AI,(Ara Toplam),(Subtotal),211567088,203869538,200040534,371800182,223936460,172752497,205175527,414148851,285941485,281776690,334911314,397039557,365154532,484714888,479622814,MPARK
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1AK,Duran Varlıklar,LONG TERM ASSETS,215785658,192330661,186805699,835549167,273983781,213851934,228185736,976952152,731061910,801284586,939916361,1281257537,1119447926,1169120626,1279223767,MPARK
1B,Ticari Alacaklar,Trade Receivables,71811,63086,56759,92622,54879,40704,38394,51608,32557,32020,30805,37369,27832,26449,25324,MPARK
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BB,Diğer Alacaklar,Other Receivables,300065,149598,134594,216208,129249,95286,87508,10894705,9217187,12142629,14257529,26459142,26063695,32358511,36474306,MPARK
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BC,Finansal Yatırımlar,Financial Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BE,Canlı Varlıklar,Long-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BFA,Stoklar,Stoklar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
1BFAA,Kullanım Hakkı Varlıkları,None,41323490,32973328,29556600,239476137,74697047,52447545,52340006,354515230,296512355,300784636,303940145,446235531,408052900,405754639,417818747,MPARK
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,72079995,63956648,61415258,187378337,70869928,53291392,68536899,189257510,134212209,145955396,193851357,275461138,232227908,258013760,308861756,MPARK
1BGA,Şerefiye,Goodwill,2636547,2316223,2083915,27347801,1721771,1277059,5384052,25079328,18224533,19430840,20360828,26248022,21516479,21675307,22310469,MPARK
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,45088212,42361935,36358525,210657485,52487883,39292915,37084263,194861807,141088407,176288737,238563914,300106147,246601443,249009203,283433321,MPARK
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,30317455,26133877,26480398,73320361,37028007,32050901,34626960,88572901,41603934,59527175,72181877,86538495,69450807,66758095,72081161,MPARK
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,23968084,24375966,30719649,97060218,36995018,35356132,30087654,113719063,90170729,87123152,96729906,120171693,115506863,135524661,138218683,MPARK
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,427352747,396200199,386846233,1207349349,497920241,386604431,433361263,1391101003,1017003395,1083061277,1274827675,1678297093,1484602458,1653835514,1758846581,MPARK
1BM,KAYNAKLAR,LIABILITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,255520306,242465581,236207437,425370009,290948780,215638201,260823999,435073768,299875740,316672738,384488203,467689279,371018986,309797199,301157387,MPARK
2AA,Finansal Borçlar,Short-Term Financial Loans,85873700,91930695,84110801,144812300,104098594,70849839,94007985,149925571,82654559,116859265,128613501,144553734,84708633,46516035,55273150,MPARK
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,121723463,114353679,113702330,210932202,132518215,101440996,121003610,199850837,145832128,142358987,166501777,212601267,172596230,175381866,175724142,MPARK
2AAGAB,Diğer Borçlar,Other Short-Term Loans,5379548,4817331,4592526,9849829,6464524,5126326,5786516,9056061,12644356,8763186,12624355,14528394,10495986,10409470,9670816,MPARK
2AAGAC,Müşteri Söz. Doğan Yük.,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MPARK
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,25628670,18314461,18719498,34068546,21273830,17892894,19625757,41962714,29601652,21532387,47676413,57231974,52680230,46076222,31626873,MPARK
