FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,113946096,132776113,185937022,388626397,198902945,159972340,183789396,263873765,180233809,255053063,220298924,280341687,251301698,225342298,175045774,ODAS
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,24358699,45478987,85179637,129862245,17845751,13968796,40275521,34664583,14971631,82197118,57311250,65804527,44199867,50850039,31091327,ODAS
1AB,Finansal Yatırımlar,Short-Term Financial Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
1AC,Ticari Alacaklar,Short-Term Trade Receivables,17080742,27069506,16813246,47152592,119277706,82151446,73011625,95638952,60350872,76390095,76021602,91059981,68184960,69701754,29172170,ODAS
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
1AE,Diğer Alacaklar,Short-Term Other Receivables,3256104,3991562,3231312,4839469,2625316,4807197,2602783,8494919,8244298,5201010,4459882,5831125,6055216,5675567,10067172,ODAS
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
1AF,Stoklar,Inventories,22104305,23363486,27211267,70572908,37881208,33133200,36255147,73293012,62811616,58092292,47551509,62185921,97403163,61761753,62563956,ODAS
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
1AH,Diğer Dönen Varlıklar,Other Current Assets,47109398,32835152,53476353,136146480,21241887,25888914,31620906,51758043,33855393,33172548,34954681,55460133,35458492,37353186,42151148,ODAS
1AI,(Ara Toplam),(Subtotal),113909248,132738693,185911815,388573694,198871868,159949553,183765980,263849510,180233809,255053063,220298924,280341687,251301698,225342298,175045774,ODAS
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,36848,37419,25206,52703,31078,22787,23415,24255,0,0,0,0,0,0,0,ODAS
1AK,Duran Varlıklar,LONG TERM ASSETS,405336748,380204568,380982490,896823672,385238206,306685877,314793385,840669595,594579716,677523175,723140068,931873313,780086540,787452949,797722259,ODAS
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,35895897,35806085,44911538,42469422,42375146,42166185,ODAS
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ODAS
