FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9,SYMBOL
1A,Dönen Varlıklar,CURRENT ASSETS,209507889,270684932,281345191,825466306,402225917,367595614,414857918,724896819,495497899,584196238,668906303,803604070,733772494,755624438,844290123,OYAKC
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,16420697,46256237,65276275,170301915,135268995,68305016,142701112,259464560,149086521,199756668,136609041,225433528,193331442,190680732,334897504,OYAKC
1AB,Finansal Yatırımlar,Short-Term Financial Investments,13525021,9339321,8966102,35090294,11176735,71130033,30075648,26242860,35029023,27900387,123542226,73673721,107930253,122293704,49832952,OYAKC
1AC,Ticari Alacaklar,Short-Term Trade Receivables,84914035,116617891,116927743,240360709,135987537,128304657,143272106,212580942,156363421,181296184,208133703,246228573,208573880,231747840,254312717,OYAKC
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1AE,Diğer Alacaklar,Short-Term Other Receivables,991497,626952,1697972,30937474,692564,996526,772430,3151929,2369556,2844426,4657800,6467627,4813888,6080576,6344486,OYAKC
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1AF,Stoklar,Inventories,81881163,88979549,80329359,200779388,109883261,82752205,88056548,200307612,141510011,163769884,179669814,227524581,199259205,180209606,189230158,OYAKC
1AG,Canlı Varlıklar,Short-Term Live Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1AH,Diğer Dönen Varlıklar,Other Current Assets,11689252,8789233,8079587,21944695,9150932,16058303,9933974,22258910,10492620,7939134,15571165,24276040,19863827,24611980,9672307,OYAKC
1AI,(Ara Toplam),(Subtotal),209421665,270609183,281277039,699414475,402160024,367546740,414811818,724006813,494851152,583506682,668183748,803604070,733772494,755624438,844290123,OYAKC
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,86224,75748,68151,126051831,65893,48874,46100,890006,646746,689556,722555,0,0,0,0,OYAKC
1AK,Duran Varlıklar,LONG TERM ASSETS,160285145,150202013,141411010,1083551770,256993498,217944565,262680974,1006991761,724831087,780884475,838416155,1199236941,990514136,1027748154,1080530011,OYAKC
1B,Ticari Alacaklar,Trade Receivables,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1BB,Diğer Alacaklar,Other Receivables,265528,234375,230936,414643,176472,140754,138131,233402,164506,162558,156439,226722,165158,156470,174852,OYAKC
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OYAKC
1BC,Finansal Yatırımlar,Financial Investments,0,0,0,602725,0,0,0,552731,401656,0,0,0,0,0,0,OYAKC
