FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/3,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/6,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,SOKM,336788609,381102028,355974672,454349725,461464970,437865987,443963620,327248931,387855774,436655120,451703543,1070458228,673262143,530233544,620076501,1244396028,909195565,1008236985,925027737,1162730221,994173847,991960354,1074259630
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,SOKM,83632164,134044972,120452785,154599194,157150191,148318542,157010316,100634915,77729422,68697768,34247885,75567597,82600022,94632405,137612670,206230957,213147117,246241396,180502016,205206670,179908135,212778197,278259185
1AB,Finansal Yatırımlar,Short-Term Financial Investments,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AC,Ticari Alacaklar,Short-Term Trade Receivables,SOKM,18357061,19023314,16839227,14286013,13839509,12444064,12416035,7486137,4978615,5180272,6642896,10650701,7251488,5455050,4885017,6880432,5651428,5873585,8729779,9276421,7389983,8662268,9580615
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,SOKM,1141535,2305152,1846161,1417340,1378304,1620042,1231250,810469,1041650,1761960,858102,16077505,26741622,6236119,7115740,8007722,10520200,2833339,4521627,7835997,10811279,6389781,5316675
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,SOKM,230375969,224502547,215704223,281224004,286028355,271060605,268293734,213387147,294575041,345079825,383037832,838959753,539577030,412501634,458018048,898887822,620001554,669871978,621194320,842238240,732351712,704191328,734064321
1AG,Canlı Varlıklar,Short-Term Live Assets,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,SOKM,3281880,1226043,1132277,2823174,3068611,4422734,5012285,4930263,9531046,15935294,26916829,129202672,17091981,11408336,12445027,124389096,59875267,83416686,110079995,98172892,63712737,59938780,47038834
1AI,(Ara Toplam),(Subtotal),SOKM,336788609,381102028,355974672,454349725,461464970,437865987,443963620,327248931,387855774,436655120,451703543,1070458228,673262143,530233544,620076501,1244396028,909195565,1008236985,925027737,1162730221,994173847,991960354,1074259630
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,SOKM,590713444,582040870,532205670,589931596,546599504,549040708,555337375,401787977,399071071,389516550,420457465,1427278850,460242992,380956203,399313180,1365984682,998285963,1115411917,1171260860,1518116829,1242739131,1263148780,1312085708
1B,Ticari Alacaklar,Trade Receivables,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,SOKM,3247370,3217357,3154186,3710607,3739435,3694477,3668513,2596267,2811442,3077061,3197975,5179953,3272008,2529856,2526456,3679859,2387569,2573318,2757822,3501572,2761674,2944266,2933801
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,SOKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
